Language,Dataset,AutotypMatch,R_type,Comments,PhoibleMatch
Abkhaz,CLICS,abk,,,
Abui,CLICS,abz,,,
Achagua,CLICS,aca,,,aca
Adang,CLICS,adn,,,adn
Adonara Lamaholot,CLICS,slp,,,
Adyghe,CLICS,ady,,,
Aghul,CLICS,agx,,,
Akhvakh (Northern dialect),CLICS,akv,,,
Aleut,CLICS,ale,,,ale
"Alorese, Baranusa",CLICS,aol,,,
Andi,CLICS,ani,,,
Angami Kohima,CLICS,njm,,,njm
Anong,CLICS,nun,,,
Anuta,CLICS,aud,,,
Ao Chungli,CLICS,njo,,,njo
Archi,CLICS,aqc,,,aqc
'Are'are (1),CLICS,alu,,,
Arosi (1),CLICS,aia,,,
Asumboa,CLICS,aua,,,
Atsi [Zaiwa],CLICS,atb,,,atb
Avar,CLICS,ava,,,ava
Awa,CLICS,kwi,,,kwi
"Awyu, South (Syiagha Dialect)",CLICS,aws,,,
Bagvalal,CLICS,kva,,,
Bai (Jianchuan),CLICS,bca,,,bca
Bambara,CLICS,bam,,,bam
Bangime,CLICS,dba,,,
Bankan_Tey,CLICS,dbw,,,
Bará,CLICS,bao,,,bao
Barasana,CLICS,bsn,,,bsn
Bashkir,CLICS,bak,,,bak
Batuley,CLICS,bay,,,
Bauro (1),CLICS,bxa,,,
Ben_Tey,CLICS,dbt,,,
Bezhta,CLICS,kap,,,
Biak,CLICS,bhw,,,bhw
Bima,CLICS,bhp,,,
Blablanga,CLICS,blp,,,
Blagar,CLICS,beu,,,
Bonerate,CLICS,bna,,,
Bora,CLICS,boa,,,boa
Botlikh,CLICS,bph,,,
Budukh,CLICS,bdk,,,
Buma,CLICS,tkw,,,
"Bunak, Bobonaro",CLICS,bfn,,,
Bunoge,CLICS,dgb,,,
Buru,CLICS,mhs,,,
Burushaski,CLICS,bsk,,,bsk
Buryat,CLICS,bua,,,
Busoa,CLICS,bup,,,
Carapana,CLICS,cbc,,,cbc
Carijona,CLICS,cbd,,,cbd
Catío,CLICS,cto,,,cto
"Central Lembata, Kalikasa",CLICS,lvu,,,
Central Siberian Yupik,CLICS,ess,,,ess
Ceq Wong,CLICS,cwg,,,
Chadong,CLICS,cdy,,,
Chamalal,CLICS,cji,,,
Chang,CLICS,nbc,,,
Chechen,CLICS,che,,,che
Chepang,CLICS,cdm,,,cdm
Chimila,CLICS,cbg,,,cbg
Chinbon,CLICS,csh,,,
Chukchi,CLICS,ckt,,,ckt
Chuvash,CLICS,chv,,,chv
"Cia-Cia, Masiri",CLICS,cia,,,
Cubeo,CLICS,cub,,,cub
Cuiba,CLICS,cui,,,cui
Curripaco,CLICS,kpc,,,kpc
Daai,CLICS,dao,,,
Dadu'a,CLICS,ilu,,,
Darang [Taraon],CLICS,mhu,,,
Dargwa,CLICS,dar,,,
Dela,CLICS,row,,,
Desano,CLICS,des,,,des
Dhadhaje,CLICS,bgt,,,
Dhao,CLICS,nfa,,,
Dimasa,CLICS,dis,,,
Dí̵mi̵na,CLICS,mbp,,,mbp
Dobel,CLICS,kvo,,,
Dori'o,CLICS,dor,,,
Embera Chamí,CLICS,cmi,,,cmi
Ende,CLICS,end,,,
Ergong (Danba),CLICS,ero,,,
Ersu,CLICS,ers,,,
Evenki,CLICS,evn,,,
Faghani,CLICS,faf,,,
Fataleka,CLICS,far,,,
Fataluku,CLICS,ddg,,,
Forest Enets,CLICS,enf,,,
Fulfulde,CLICS,ffm,,,ffm
Funai Helong,CLICS,heg,,,
Galolen,CLICS,gal,,,
Gawwada,CLICS,gwd,,,
Geser-Gorom,CLICS,ges,,,
Ghanongga,CLICS,ghn,,,
Ghari,CLICS,gri,,,
Godoberi,CLICS,gdo,,,
Guahibo,CLICS,guh,,,guh
Guambiano,CLICS,gum,,,gum
Guayabero,CLICS,guo,,,guo
Guiqiong,CLICS,gqi,,,
Gurindji,CLICS,gue,,,
Gurung,CLICS,ggn; gvr,,,
Hani,CLICS,hni,,,
Hatam,CLICS,had,,,
"Hawu, Seba",CLICS,hvn,,,
Hill Mari,CLICS,mrj,,,
Hinuq,CLICS,gin,,,
Hoava,CLICS,hoa,,,hoa
Hokkaido Ainu,CLICS,ain,,,ain
Hunzib,CLICS,huz,,,
Hup,CLICS,jup,,,jup
Idu,CLICS,clk,,,
Ika,CLICS,arh,,,arh
Imbabura Quechua,CLICS,que,,,
