iso.x,language,eng_orig.x,roughness,trans,back_trans,language_n,rough,iso639.3,regexp.r,regexp.l,r,l,mbranch,stock,area,continent,longitude,latitude,regexp.t,regexp.n,regexp.s,regexp.k,regexp.m,regexp.p,regexp.b,regexp.d,t,d,p,b,k,s,m,n,id,iso.y,eng_orig.y,trans_qual
af,Afrikaans,grooved,1.7,gegroefde,grooved,72,TRUE,afr,r,l,TRUE,FALSE,Germanic,Indo-European,S Africa,Africa,22,-31,t,(n$|n[^kg]),(s$|s[^j]),k,m,p,b,d,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,af grooved,NA,NA,NA
af,Afrikaans,velvety,-5.3,fluweelagtige,velvety,72,FALSE,afr,r,l,FALSE,TRUE,Germanic,Indo-European,S Africa,Africa,22,-31,t,(n$|n[^kg]),(s$|s[^j]),k,m,p,b,d,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,af velvety,NA,NA,NA
af,Afrikaans,ribbed,3.4,geribde,ribbed,72,TRUE,afr,r,l,TRUE,FALSE,Germanic,Indo-European,S Africa,Africa,22,-31,t,(n$|n[^kg]),(s$|s[^j]),k,m,p,b,d,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,af ribbed,NA,NA,NA
af,Afrikaans,stubbly,5,stoppelig,stubbly,72,TRUE,afr,r,l,FALSE,TRUE,Germanic,Indo-European,S Africa,Africa,22,-31,t,(n$|n[^kg]),(s$|s[^j]),k,m,p,b,d,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,af stubbly,NA,NA,NA
af,Afrikaans,gnarled,4.4,knoestige,gnarled,72,TRUE,afr,r,l,FALSE,FALSE,Germanic,Indo-European,S Africa,Africa,22,-31,t,(n$|n[^kg]),(s$|s[^j]),k,m,p,b,d,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,af gnarled,NA,NA,NA
af,Afrikaans,bony,2.5,benige,bony,72,TRUE,afr,r,l,FALSE,FALSE,Germanic,Indo-European,S Africa,Africa,22,-31,t,(n$|n[^kg]),(s$|s[^j]),k,m,p,b,d,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,af bony,NA,NA,NA
af,Afrikaans,slippery,-6.2,glibberige,slippery,72,FALSE,afr,r,l,TRUE,TRUE,Germanic,Indo-European,S Africa,Africa,22,-31,t,(n$|n[^kg]),(s$|s[^j]),k,m,p,b,d,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,af slippery,NA,NA,NA
af,Afrikaans,lumpy,2.9,klonterig,lumpy,72,TRUE,afr,r,l,TRUE,TRUE,Germanic,Indo-European,S Africa,Africa,22,-31,t,(n$|n[^kg]),(s$|s[^j]),k,m,p,b,d,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,af lumpy,NA,NA,NA
af,Afrikaans,knobby,2.6,knobbelrige,knobby,72,TRUE,afr,r,l,TRUE,TRUE,Germanic,Indo-European,S Africa,Africa,22,-31,t,(n$|n[^kg]),(s$|s[^j]),k,m,p,b,d,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,af knobby,NA,NA,NA
af,Afrikaans,rough,6.2,rowwe,rough,72,TRUE,afr,r,l,TRUE,FALSE,Germanic,Indo-European,S Africa,Africa,22,-31,t,(n$|n[^kg]),(s$|s[^j]),k,m,p,b,d,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,af rough,NA,NA,NA
af,Afrikaans,polished,-5.3,gepoleerde,polished,72,FALSE,afr,r,l,TRUE,TRUE,Germanic,Indo-European,S Africa,Africa,22,-31,t,(n$|n[^kg]),(s$|s[^j]),k,m,p,b,d,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,af polished,NA,NA,NA
af,Afrikaans,painted,-3,geverf,painted,72,FALSE,afr,r,l,TRUE,FALSE,Germanic,Indo-European,S Africa,Africa,22,-31,t,(n$|n[^kg]),(s$|s[^j]),k,m,p,b,d,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,af painted,NA,NA,NA
af,Afrikaans,fine,-5.2,fyn,fine,72,FALSE,afr,r,l,FALSE,FALSE,Germanic,Indo-European,S Africa,Africa,22,-31,t,(n$|n[^kg]),(s$|s[^j]),k,m,p,b,d,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,af fine,NA,NA,NA
af,Afrikaans,bumpy,3.3,stamperige,bumpy,72,TRUE,afr,r,l,TRUE,FALSE,Germanic,Indo-European,S Africa,Africa,22,-31,t,(n$|n[^kg]),(s$|s[^j]),k,m,p,b,d,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,af bumpy,NA,NA,NA
af,Afrikaans,woolly,0,wollerige,woolly,72,TRUE,afr,r,l,TRUE,TRUE,Germanic,Indo-European,S Africa,Africa,22,-31,t,(n$|n[^kg]),(s$|s[^j]),k,m,p,b,d,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,af woolly,NA,NA,NA
