stimulus,roughness,google_trs,google_trs_symmetrical,HunSuggestedTrs,eng_roughness,etymology.source,etymology.date,onset,stressed_onset,rhyme,stressed_rhyme,all.a,all.A,all.b,all.c,all.d,all.D,all.e,all.E,all.f,all.g,all.h,all.H,all.i,all.I,all.j,all.J,all.k,all.l,all.m,all.n,all.o,all.O,all.ø,all.Ø,all.p,all.r,all.s,all.S,all.t,all.T,all.u,all.U,all.v,all.y,all.Y,all.z,all.Z,onset.b,onset.r,onset.z,onset.d,onset.l,onset.t,onset.S,onset.j,onset.h,onset.k,onset.H,onset.c,onset.J,onset.p,onset.s,onset.n,onset.m,onset.v,onset.D,onset.f,onset.g,onset.T,onset.Z,stressed_onset.b,stressed_onset.r,stressed_onset.z,stressed_onset.d,stressed_onset.l,stressed_onset.t,stressed_onset.S,stressed_onset.j,stressed_onset.h,stressed_onset.k,stressed_onset.H,stressed_onset.c,stressed_onset.J,stressed_onset.p,stressed_onset.s,stressed_onset.n,stressed_onset.m,stressed_onset.v,stressed_onset.D,stressed_onset.f,stressed_onset.g,stressed_onset.T,stressed_onset.Z,rhyme.a,rhyme.A,rhyme.b,rhyme.c,rhyme.d,rhyme.D,rhyme.e,rhyme.E,rhyme.f,rhyme.g,rhyme.h,rhyme.H,rhyme.i,rhyme.I,rhyme.j,rhyme.J,rhyme.k,rhyme.l,rhyme.m,rhyme.n,rhyme.o,rhyme.O,rhyme.ø,rhyme.Ø,rhyme.p,rhyme.r,rhyme.s,rhyme.S,rhyme.t,rhyme.T,rhyme.u,rhyme.U,rhyme.v,rhyme.y,rhyme.Y,rhyme.z,rhyme.Z,stressed_rhyme.a,stressed_rhyme.A,stressed_rhyme.b,stressed_rhyme.c,stressed_rhyme.d,stressed_rhyme.D,stressed_rhyme.e,stressed_rhyme.E,stressed_rhyme.f,stressed_rhyme.g,stressed_rhyme.h,stressed_rhyme.H,stressed_rhyme.i,stressed_rhyme.I,stressed_rhyme.j,stressed_rhyme.J,stressed_rhyme.k,stressed_rhyme.l,stressed_rhyme.m,stressed_rhyme.n,stressed_rhyme.o,stressed_rhyme.O,stressed_rhyme.ø,stressed_rhyme.Ø,stressed_rhyme.p,stressed_rhyme.r,stressed_rhyme.s,stressed_rhyme.S,stressed_rhyme.t,stressed_rhyme.T,stressed_rhyme.u,stressed_rhyme.U,stressed_rhyme.v,stressed_rhyme.y,stressed_rhyme.Y,stressed_rhyme.z,stressed_rhyme.Z
barázdált,3.6685,striated,TRUE,bA.raz.dalt,NA,slavic,1086,b.r.d,b,A.az.alt,A,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bársonyos,-4.2165,velvety,TRUE,bar.SO.HOS,-5.3,turkic,1221,b.S.H,b,ar.O.OS,ar,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
bodros,1.661,frilly,FALSE,bOd.rOS,NA,from other,1222,b.r,b,Od.OS,Od,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bolyhos,0.5415,fluffy,TRUE,bOj.hOS,NA,unknown,1793,b.h,b,Oj.OS,Oj,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bordázott,2.911,ribbed,TRUE,bOr.da.zOtt,3.4,slavic,1801,b.d.z,b,Or.a.Ott,Or,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
borostás,4.3870000000000005,bristly,FALSE,bO.rOS.taS,4.4,germanic,1799,b.r.t,b,O.OS.aS,O,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
buborékos,-0.363,bubbly,FALSE,bU.bO.re.kOS,-3.3,from other,1560,b.b.r.k,b,U.O.e.OS,U,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
bütykös,3.1915,gnarled,TRUE,bYc.kØS,4.4,from other,1531,b.k,b,Yc.ØS,Yc,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
csipkés,1.7575,lacy,TRUE,JIp.keS,-1.4,innovation,1535,J.k,J,Ip.eS,Ip,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
csiszoló,3.059,emery,FALSE,Ji.sO.lo,NA,innovation,1476,J.s.l,J,i.O.o,i,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
