participant,overall.dur,roughness,stimulus,etymology.source,all.r,all.l
R_3CHocKls9HFwIp0,569,2.73,barázdált,slavic,1,1
R_231pwiLAC5ZSwkg,588,2.33,barázdált,slavic,1,1
R_pK6D4qIrzWOHXrj,774,3.25,barázdált,slavic,1,1
R_8nZbxNURhEAQ0wN,768,2.58,barázdált,slavic,1,1
R_1KmaYsKDeil9Ulu,630,2.94,barázdált,slavic,1,1
R_2f73AcR8uA82XLd,773,5.07,barázdált,slavic,1,1
R_3ELPEMeSqeojjKD,4499,3.87,barázdált,slavic,1,1
R_29QlGRes7a1ZuSt,1006,6.07,barázdált,slavic,1,1
R_AgvhV0T99Hi9hAt,4604,1.22,barázdált,slavic,1,1
R_3QR929IrgiCVniq,519,3.08,barázdált,slavic,1,1
R_2t6dfZt35dI0dhl,682,2.13,barázdált,slavic,1,1
R_3Po5gbqeIdAHi9l,668,2.01,barázdált,slavic,1,1
R_32Mja3MNPo5Np98,536,7,barázdált,slavic,1,1
R_3qsVbzSPnkEZ9Pu,483,3.39,barázdált,slavic,1,1
R_qBZVAGbiygl16yR,674,1.07,barázdált,slavic,1,1
R_3MEgzBiFCJBMAUN,457,5.7,barázdált,slavic,1,1
R_rkYNuZF0SgK0JGh,732,2.82,barázdált,slavic,1,1
R_29oCgZSCYIJePHg,792,3.37,barázdált,slavic,1,1
R_2pY9bqFFpuTAS1a,284,7,barázdált,slavic,1,1
R_1GwflvMIvtpVDSz,652,5.74,barázdált,slavic,1,1
R_3CHocKls9HFwIp0,569,1.21,bodros,from other,1,0
R_231pwiLAC5ZSwkg,588,0,bodros,from other,1,0
R_pK6D4qIrzWOHXrj,774,2.14,bodros,from other,1,0
R_8nZbxNURhEAQ0wN,768,0,bodros,from other,1,0
R_1KmaYsKDeil9Ulu,630,4.15,bodros,from other,1,0
R_2f73AcR8uA82XLd,773,0,bodros,from other,1,0
R_3ELPEMeSqeojjKD,4499,4.78,bodros,from other,1,0
R_29QlGRes7a1ZuSt,1006,0,bodros,from other,1,0
R_AgvhV0T99Hi9hAt,4604,0,bodros,from other,1,0
R_3QR929IrgiCVniq,519,1.56,bodros,from other,1,0
R_2t6dfZt35dI0dhl,682,2.82,bodros,from other,1,0
R_3Po5gbqeIdAHi9l,668,0,bodros,from other,1,0
R_32Mja3MNPo5Np98,536,1.2,bodros,from other,1,0
R_3qsVbzSPnkEZ9Pu,483,2.16,bodros,from other,1,0
R_qBZVAGbiygl16yR,674,2.59,bodros,from other,1,0
R_3MEgzBiFCJBMAUN,457,0,bodros,from other,1,0
R_rkYNuZF0SgK0JGh,732,-0.85,bodros,from other,1,0
R_29oCgZSCYIJePHg,792,1.32,bodros,from other,1,0
R_2pY9bqFFpuTAS1a,284,7,bodros,from other,1,0
R_1GwflvMIvtpVDSz,652,3.14,bodros,from other,1,0
R_3CHocKls9HFwIp0,569,1.26,bolyhos,unknown,0,0
R_231pwiLAC5ZSwkg,588,1.44,bolyhos,unknown,0,0
R_pK6D4qIrzWOHXrj,774,-3.85,bolyhos,unknown,0,0
R_8nZbxNURhEAQ0wN,768,0,bolyhos,unknown,0,0
R_1KmaYsKDeil9Ulu,630,2.54,bolyhos,unknown,0,0
R_2f73AcR8uA82XLd,773,0,bolyhos,unknown,0,0
R_3ELPEMeSqeojjKD,4499,4.37,bolyhos,unknown,0,0
R_29QlGRes7a1ZuSt,1006,1.35,bolyhos,unknown,0,0
R_AgvhV0T99Hi9hAt,4604,-0.75,bolyhos,unknown,0,0
R_3QR929IrgiCVniq,519,1.3,bolyhos,unknown,0,0
R_2t6dfZt35dI0dhl,682,1.14,bolyhos,unknown,0,0
R_3Po5gbqeIdAHi9l,668,0,bolyhos,unknown,0,0
R_32Mja3MNPo5Np98,536,0,bolyhos,unknown,0,0
R_3qsVbzSPnkEZ9Pu,483,0,bolyhos,unknown,0,0
R_qBZVAGbiygl16yR,674,1.11,bolyhos,unknown,0,0
R_3MEgzBiFCJBMAUN,457,1.75,bolyhos,unknown,0,0
R_rkYNuZF0SgK0JGh,732,-1.42,bolyhos,unknown,0,0
R_29oCgZSCYIJePHg,792,-0.63,bolyhos,unknown,0,0
R_2pY9bqFFpuTAS1a,284,0.02,bolyhos,unknown,0,0
R_1GwflvMIvtpVDSz,652,1.2,bolyhos,unknown,0,0
