Word,Pron
varnished,"v""Ar.nISt"
sequined,"s""i.kwInd"
satiny,"s""a.tn=.i"
ridged,"r""IdZd"
gluey,"gl""u.i"
gravelly,"gr""a.vl=.i"
crinkled,"kr""IN.kl=d"
cuddly,"k""V.4l=.i"
cushioned,"k""U.Sn=d"
corroded,"k@`.r""o4.@d"
wooden,"w""Ud.n="
woolly,"w""Ul.i"
woven,"w""ov.n="
waxy,"w""aks.i"
velour,"v@.l""Ur"
velvety,"v""El.v@4.i"
tough,"t""Vf"
thorny,"T""Orn.i"
tin,"t""In"
tender,"t""En.4@`"
textured,"t""Eks.tS@`d"
suede,"sw""ed"
stubbly,"st""V.bl=.i"
starched,"st""ArtSt"
steel,"st""il"
stiff,"st""If"
spiky,"sp""aIk.i"
spongy,"sp""VndZ.i"
soft,"s""Oft"
soggy,"s""A.gi"
solid,"s""A.l@d"
sleek,"sl""ik"
slick,"sl""Ik"
slimy,"sl""aIm.i"
slippery,"sl""Ip.@`.i"
smooth,"sm""uD"
silky,"s""Ilk.i"
sharp,"S""Arp"
shiny,"S""aIn.i"
serrated,"sI.r""e4.@d"
scratchy,"skr""atS.i"
sandy,"s""an4.i"
scaly,"sk""el.i"
rocky,"r""Ak.i"
rough,"r""Vf"
rubbery,"r""Vb.@`.i"
rugged,"r""V.g@d"
rust,"r""Vst"
ribbed,"r""Ibd"
rigid,"r""I.dZId"
rippled,"r""I.pl=d"
ragged,"r""ag.@d"
puffy,"p""Vf.i"
prickly,"pr""Ik.l=.i"
powder,"p""aU.4@`"
plastic,"pl""a.stIk"
plush,"pl""VS"
polished,"p""A.lISt"
perforated,"p""3`.f@`.r%e4.@d"
pebbly,"p""E.bl=.i"
peeling,"p""il.IN"
painted,"p""en4.@d"
papery,"p""e.p@`.i"
oily,"""OIl.i"
nylon,"n""aI.lAn"
muscular,"m""V.skj@.l@`"
mushy,"m""VS.i"
melted,"m""Elt.@d"
metal,"m""E.4l="
metallic,"m@.t""al.Ik"
matted,"m""a4.@d"
lumpy,"l""Vmp.i"
lubricated,"l""u.br@.k%e4.@d"
limp,"l""Imp"
lacy,"l""es.i"
leather,"l""E.D@`"
knitted,"n""I4.@d"
knobby,"n""Ab.i"
jagged,"dZ""ag.@d"
indestructible,"%In.dI.str""Vkt.@.bl="
inflexible,"In.fl""Eks.@.bl="
icy,"""aIs.i"
hard,"h""Ard"
harsh,"h""ArS"
grimy,"gr""aIm.i"
grooved,"gr""uvd"
hairy,"h""Er.i"
gooey,"g""u.i"
granular,"gr""a.nj@l.@`"
greasy,"gr""is.i"
gelatinous,"dZ@.l""a.4@.n@s"
glass,"gl""as"
glassy,"gl""as.i"
gnarled,"n""Arld"
frizzy,"fr""Iz.i"
furry,"f""3`.i"
fuzzy,"f""Vz.i"
Formica,"fOr.m""aI.k@"
frayed,"fr""ed"
flimsy,"fl""Im.zi"
fluffy,"fl""Vf.i"
fluid,"fl""u.Id"
foamy,"f""om.i"
fibrous,"f""aI.br@s"
filmy,"f""Ilm.i"
fine,"f""aIn"
firm,"f""3`m"
flabby,"fl""ab.i"
flannel,"fl""a.nl="
flat,"fl""at"
feathered,"f""E.D@`d"
felt,"f""Elt"
fabric,"f""a.brIk"
etched,"""EtSt"
dusty,"d""Vst.i"
disjointed,"dIs.dZ""OIn4.@d"
delicate,"d""E.l@.k@t"
dented,"d""En4.@d"
crumbly,"kr""Vm.bl=.i"
crumpled,"kr""Vm.pl=d"
crushed,"kr""VSt"
crusty,"kr""Vst.i"
cushy,"k""U.Si"
cracked,"kr""akt"
creamy,"kr""im.i"
crevices,"kr""E.v@s.@z"
crinkly,"kr""IN.kl=.i"
crisp,"kr""Isp"
cotton,"k""A.tn="
comfortable,"k""Vm.f@`4.@.bl="
clean,"kl""in"
cloth,"kl""OT"
coarse,"k""Ors"
coated,"k""o4.@d"
ceramic,"s@.r""a.mIk"
chalky,"tS""Ok.i"
canvas,"k""an.v@s"
brick,"br""Ik"
bristly,"br""I.sl=.i"
brittle,"br""I.4l="
broken,"br""ok.@n"
bubbly,"b""V.bl=.i"
bumpy,"b""Vmp.i"
bony,"b""on.i"
brassy,"br""as.i"
blunt,"bl""Vnt"
barbed,"b""Arbd"
bark,"b""Ark"
beaded,"b""i4.@d"
bald,"b""Old"
aluminum,"@.l""u.m@.n@m"
abrasive,"@.br""es.Iv"
