Word,MainYear,EtymonYear,EtymonYearProcessed,Etymology,Origin,Borrowed,ObscureOrigin,Imitative,IE_root_watkins_2000,DetailedForm_watkins_2000,AlternativeForm
scaly,1528,?a1200/c1275,1200,scale,Germanic,no,no,no,(s)kel-,(s)kel-,scale
sharp,c825/a1225,,825,,Germanic,no,no,no,(s)ker-,(s)ker-1,
crisp,c900,,900,,Latin,yes,no,no,(s)ker-,(s)ker-3,
ridged,c1225/?c1200,eOE/OE/c1150,650,ridge,Germanic,no,no,no,(s)ker-,(s)ker-2,ridge
slick,?a1366,,1366,,Germanic,no,no,no,(s)lei-,(s)lei-,
slimy,1398,a1000,1000,slime,Germanic,no,no,no,(s)lei-,(s)lei-,slime
slippery,1535,a1050,1050,slipper,alteration of 'slipper',no,no,no,(s)lei-,(s)lei-,
foamy,OE/c1385,a700,700,foam,Germanic,no,no,no,(s)poi-mo-,(s)poi-mo-,foam
thorny,a1023,c950/OE/c1000,950,thorn,Germanic,no,no,no,(s)ter-n-,(s)ter-n-,thorn
puffy,a1594,OE/lOE/?c1225,900,puff,possibly imitative formation,no,no,yes,beu-,beu-,
bristly,1591,a1000/c1314,1000,bristle,Germanic,no,no,no,bhars-,bhars-,bristle
perforated,1486,?a1425,1425,perforate,French borrowing,yes,no,no,bher-,bher-2,perforate
frizzy,1870,1660,1660,frizz,French borrowing,yes,no,no,bher-,bher-4,frizz
bark,a1300,,1300,,Scandinavian/Germanic,no,no,no,bherg,bherg,
sandy,c1000,c825/c1000,825,sand,Germanic,no,no,no,bhes-,bhes-,sand
fluid,1603,,1603,,French borrowing,yes,no,no,bhleu-,bhleu-,
broken,c1200,a1000,1000,break,Germanic,no,no,no,bhreg-,bhreg-,break
nonbreakable,1570,a1000,1000,break,Germanic,no,no,no,bhreg-,bhreg-,break
frayed,1815,1575,1575,fray,French borrowing,yes,no,no,bhreie-,bhreie-,
brittle,a1382,OE,1382,brit,Germanic,no,no,no,bhreu-,bhreu-,
tough,a700,,700,,Germanic,no,no,no,denk-,denk-,
fabric,1483,,1483,,French borrowing,yes,no,no,dhabh-,dhabh-,
firm,a1340,,1340,,French borrowing,yes,no,no,dher-,dher-,
dusty,a1225,c825,825,dust,Germanic,no,no,no,dheu-,dheu-,
etched,1847,1634,1634,etch,Dutch,yes,no,no,ed-,ed-,etch
icy,OE(Beowulf)/1511,eOE(Metres of Boethius),650,ice,Germanic,no,no,no,eis-,eis-,ice
oily,c1475,1221,1221,oil,French borrowing,yes,no,no,elaia,elaia,oil
brassy,1582,c1000,1000,brass,unknown origin,no,yes,no,ferrum,ferrum,
knitted,1855,c1000,1000,knit,Germanic,no,no,no,g(e)n-,g(e)n-,knit
knobby,1543,1398,1398,knob,possibly Germanic,no,no,no,g(e)n-,g(e)n-,knob
crumpled,a1400,a800,800,crump,Germanic,no,no,no,g(e)r-,g(e)r-,crumple
clean,883,,883,,Germanic,no,no,no,gel-,gel-1,
gelatinous,1731,,1731,,French,yes,no,no,gel-,gel-2,gelatin?
crinkled,1558,c1386,1386,crinkle,probably Germanic,no,no,no,ger-,ger-,crinkle
crinkly,1750,c1386,1386,crinkle,probably Germanic,no,no,no,ger-,ger-,crinkle
cracked,c1000,,,crack,Germanic,no,no,no,gere-,gere-,
glass,c888,,888,,Germanic,no,no,no,ghel-,ghel-,
glassy,1887,c888,888,glass,Germanic,no,no,no,ghel-,ghel-,glass
grooved,1793,a1400-1450,1400,groove,Dutch borrowing,yes,no,no,ghrebh-,ghrebh-,
creamy,1610,1332,1332,cream,French borrowing,yes,no,no,ghrei-,ghrei-,
grimy,1612,1483,1483,grime,probably Germanic,no,no,no,ghrei-,ghrei-,grime
gravelly,a1382,a1300,1300,gravel,French borrowing,yes,no,no,ghreu-,ghreu-,gravel
gluey,1382,c1380,1380,glue,French borrowing,yes,no,no,glei-,glei-,
scratchy,1710,1474,1474,scratch,"apparently produced by a confusion of the synonymous scrat n., cratch v.",no,no,no,grat-,grat-,scratch
grainy,1611,1398,1398,grain,French borrowing,yes,no,no,gre-no-,gre-no-,grain
granular,1794,1398,1398,grain,French borrowing,yes,no,no,gre-no-,gre-no-,granule
beaded,1577,c855,855,bead,Germanic,no,no,no,gwhedh-,gwhedh-,prayer
callused,1819,1578,1578,callous,Latin,yes,no,no,kal-,kal-,callous; from Latin hard
canvas,1260,,1260,,French borrowing,yes,no,no,kannabis,kannabis,
hard,eOE/OE/a1225,,650,,Germanic,no,no,no,kar-,kar-,
limp,1706,,1706,,unknown origin,no,yes,no,kel-,kel-1,
holey,1398,946,946,hole,Germanic,no,no,no,kel-,kel-2,hole
crevices,1382,,1382,,French borrowing,yes,no,no,ker-,ker-2,
ceramic,1850,,1850,,Greek through French,yes,no,no,ker-,ker-4,
craterous,1730,,1730,,Latin,yes,no,no,kere-,kere-,
cushioned,1839,1361,1361,cushion,French borrowing,yes,no,no,koksa-,koksa-,cushion
cushiony,1839,1361,1361,cushion,French borrowing,yes,no,no,koksa-,koksa-,cushion
crusty,c1400,a1330,1330,crust,Latin / French borrowing,yes,no,no,kreus-,kreus-,
leather,c1000,,1000,,Germanic,no,no,no,letro-,letro-,
melted,OE/a1425,eOE/OE/a1325,1325,melt,Germanic; merging of words,no,no,no,mel-,mel-,
