APPENDIX,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Touch-,Sensory,Touch-,,,,,,,,,,,,,,,
Related,List,Focused,,Hardness,,Part motion,,Roughness,,Shape,,Size,,Temperature,,Weight,
Adjective,Frequency,Frequency,K&F , -7 (soft) to +7 (hard),, 0 to +7 ,, -7 (smooth) to +7 (rough),, 0 to +7 ,, -7 (small) to +7 (large),, -7 (cold) to +7 (hot),, -7 (light) to +7 (heavy),
(n=24),(n=120),(n=120),Frequency,M,SD,M,SD,M,SD,M,SD,M,SD,M,SD,M,SD
abrasive,3,6,0,4.20,2.00,0.40,0.80,6.30,1.00,,,,,,,,
aluminum*,1,1,18,1.80,2.30,,,-2.60,3.10,,,,,,,-0.50,3.20
angular,3,1,16,,,,,,,4.60,2.10,,,,,,
asymmetrical,2,2,2,,,,,,,3.00,2.90,,,,,,
bald,6,7,5,,,,,-4.10,3.00,,,,,,,,
barbed,1,1,11,3.60,4.00,,,6.30,1.70,3.60,2.90,,,,,,
bark*,1,1,14,1.90,3.10,,,4.30,2.10,,,,,,,-0.20,3.40
beaded,1,1,1,1.50,3.10,,,3.00,2.40,3.30,2.40,,,,,,
bendable,3,5,0,,,4.30,2.10,,,,,,,,,,
bent,3,4,34,,,,,,,3.60,2.40,,,,,,
big,19,18,360,,,,,,,,,4.40,2.10,,,,
binding,1,2,20,,,1.60,1.90,,,,,,,,,,
blunt,2,4,9,,,,,0.50,3.80,,,,,,,,
bony,1,3,7,4.30,2.30,,,2.50,2.30,2.80,2.20,,,,,,
bouncy,3,1,1,,,5.50,1.90,,,,,,,,,,
brassy,0,1,2,2.10,2.20,,,-2.30,3.30,,,,,,,2.20,2.20
brick*,1,2,18,5.80,1.30,,,1.70,2.30,3.10,2.60,,,,,5.30,1.80
bristly,1,2,0,2.60,2.70,,,4.40,1.60,,,,,,,,
brittle,3,11,0,0.80,4.50,,,,,,,,,,,,
broad,2,1,84,,,,,,,,,2.80,2.20,,,,
broken,6,1,63,,,,,3.10,2.40,,,,,,,,
bubbly,1,2,1,-3.50,2.60,,,-3.30,2.40,,,,,,,,
