iso,language,eng_orig,roughness,trans,translation_quality_control,translation_comment
es,Spanish,velvety,-5.3,aterciopelado,good,NA
es,Spanish,coated,-2.8,saburral,bad,"I've never heard this word before (although it turns out that ""saburra"" exists…) I'd say the best translation could be ""recubierto"""
es,Spanish,fuzzy,-1.6,borroso,good,NA
es,Spanish,bubbly,-3.3,burbujeante,ok,"depends on context: ""burbujeante"" applies to stuff like baths; but if it refers to food or drinks, it should be ""espumoso"""
es,Spanish,abrasive,6.3,abrasivo,good,NA
es,Spanish,slippery,-6.2,resbaladizo,good,NA
es,Spanish,lumpy,2.9,aterronado,bad,"I think it it should be ""grumoso"" if it applies to food; or if it's sth like a lumpy surface, I'd say it's best to say ""abultado"""
es,Spanish,rough,6.2,áspero,good,"I guess it's ""áspero""?"
es,Spanish,jagged,6.3,dentado,good,NA
es,Spanish,textured,0.8,texturado,bad,"""texturado"" is not a word - perhaps ""texturizado""."
es,Spanish,polished,-5.3,pulido,good,NA
es,Spanish,painted,-3,pintado,good,NA
es,Spanish,serrated,4,serrado,ok,"not sure if it should be ""serrado"" o ""aserrado""; if it applies to a knife, we usually say ""(cuchillo) de sierra"""
es,Spanish,matted,0.3,enmarañado,ok,"""enmarañado"" (very entangled and twisted hair, usually dirty) or ""despeinado"" (a bit less of a hair mess, perhaps twisted hair bc of the wind). if it means not shiny: ""mate""  "
es,Spanish,woolly,0,lanoso,good,NA
es,Spanish,sandy,3.9,arenoso,good,NA
es,Spanish,dented,2.4,abollado,bad,"I think a more direct translation here is ""dentado"", and ""abollado"" or ""abultado"" for ""lumpy"""
es,Spanish,scratchy,5,chirriante,ok,"""chirriante"" or ""rechinante"" if it's applied to a voice; but if it's an object that feels uncomrtable to the skin, I'd say ""áspero"""
es,Spanish,pebbly,3.8,guijarroso,ok,"""pedregoso"" is more common"
es,Spanish,gravelly,4.1,lleno de grava,good,NA
es,Spanish,ceramic,-2.5,cerámico,good,NA
es,Spanish,frayed,-0.8,raído,good,NA
es,Spanish,gelatinous,-4.2,gelatinoso,good,NA
es,Spanish,bald,-4.1,calvo,good,NA
es,Spanish,corroded,3.5,corroído,good,NA
es,Spanish,creamy,-4.8,cremoso,good,NA
es,Spanish,chalky,-1.1,gredoso,bad,"not a word. I'd say it's better to use ""blanquecino"" if it means ""whitish""; but if applied to water ""calcáreo"""
es,Spanish,varnished,-3.7,barnizado,good,NA
es,Spanish,flat,-2.7,plano,good,NA
es,Spanish,grimy,-1.2,mugriento,good,NA
es,Spanish,slimy,-5.2,baboso,good,NA
es,Spanish,oily,-6.2,aceitoso,good,NA
es,Spanish,lubricated,-6.2,lubricado,good,NA
es,Spanish,crumbly,3.2,desmoronadizo,bad,"not a word. If it's applied to a cake or bread, I'd say ""que se desmigaja/desmenuza""; if it's a building, ""que se desmorona"""
es,Spanish,perforated,0.4,perforado,good,NA
es,Spanish,scaly,1.9,escamoso,ok,"it exists although it is more common to say ""con escamas"""
es,Spanish,dusty,-0.8,polvoriento,good,NA
es,Spanish,cracked,3.5,agrietado,good,NA
es,Spanish,rugged,4,escabroso,bad,"""agreste"" if it means irregular surface (like a costaline"" / or ""robusto"" if it means sth like strong"
es,Spanish,ragged,3.3,harapiento,ok,"could also be ""desigual"" (a bit more generic) depending on context; harapiento is mainly applied to clothes"
es,Spanish,fibrous,2.3,fibroso,good,NA
es,Spanish,silky,-5.9,sedoso,good,NA
es,Spanish,bristly,4.4,erizado,good,"could also be ""hirsuto"" (if applied to hair)"
es,Spanish,grainy,3.9,granoso,bad,"""granulado"""
es,Spanish,disjointed,2.7,inconexo,good,NA
es,Spanish,rocky,4.8,rocoso,good,NA
es,Spanish,furry,-2.8,peludo,good,NA
es,Spanish,feathered,-4.6,plumado,ok,"it should be ""emplumado"""
es,Spanish,blunt,0.5,embotar,bad,"""romo"" o ""desafilado"" if applied to an object (like an knife) but if used figuratively to refer to a person, ""directo"" or ""contundente"""
es,Spanish,thorny,5.8,espinoso,good,NA
es,Spanish,glassy,-4.3,vidrioso,ok,"perhaps ""vítreo"" is more common…""vidrioso"" is only used to describe eyes in tears / or when you are drunk "
es,Spanish,waxy,-3.6,de cera,good,NA
es,Spanish,greasy,-5.1,grasiento,good,NA
de,German,grooved,1.7,gerillt,good,NA
de,German,velvety,-5.3,samtig,good,NA
de,German,coated,-2.8,beschichtet,good,NA
de,German,ribbed,3.4,gerippt,good,NA
de,German,stubbly,5,stoppelig,good,NA
de,German,bubbly,-3.3,sprudelnd,good,NA
de,German,gnarled,4.4,knotig,good,NA
de,German,abrasive,6.3,schleifmittel,bad,went for the noun sense
de,German,bony,2.5,knochig,good,NA
de,German,slippery,-6.2,rutschig,good,NA
de,German,lumpy,2.9,klumpig,good,NA
de,German,rough,6.2,rau,good,NA
de,German,jagged,6.3,gezackt,good,NA
de,German,wooden,1.3,h√∂lzern,good,NA
de,German,metallic,-1.9,metallisch,good,NA
de,German,polished,-5.3,poliert,good,NA
de,German,painted,-3,gemalt,OK,"root is right, but would be better ""bemalt"""
de,German,fine,-5.2,fein,good,NA
de,German,serrated,4,gez√§hnt,good,NA
de,German,bumpy,3.3,holperig,good,NA
de,German,matted,0.3,verfilzt,good,NA
de,German,woolly,0,wollig,good,NA
de,German,sandy,3.9,sandig,good,NA
de,German,dented,2.4,verbeult,good,NA
de,German,icy,-4.3,eisig,good,NA
de,German,scratchy,5,kratzig,good,NA
de,German,gravelly,4.1,kiesig,good,NA
de,German,firm,4.2,feste,OK,"should be ""fest"""
de,German,frayed,-0.8,ausgefranst,good,NA
de,German,gelatinous,-4.2,gallertartig,good,NA
de,German,bald,-4.1,kahl,good,NA
de,German,corroded,3.5,korrodiert,OK,"could be ""zerfressen"" (more German native)"
de,German,creamy,-4.8,cremig,good,NA
de,German,chalky,-1.1,kreidig,good,NA
de,German,holey,2,l√∂chrig,good,NA
de,German,etched,2.8,ge√§tzt,good,NA
de,German,slimy,-5.2,schleimig,good,NA
de,German,oily,-6.2,√∂lig,good,NA
de,German,lubricated,-6.2,geschmiert,OK,"could be ""beschmiert"""
de,German,crumbly,3.2,kr√ºmelig,good,NA
de,German,perforated,0.4,perforiert,good,NA
de,German,scaly,1.9,schuppig,good,NA
de,German,dusty,-0.8,staubig,good,NA
de,German,cracked,3.5,geknackt,good,NA
de,German,crisp,2,knackig,good,NA
de,German,scrunchy,0.6,haargummi,bad,totally off
de,German,fibrous,2.3,faserig,good,NA
de,German,silky,-5.9,seidig,good,NA
de,German,smooth,-6.9,glatt,good,NA
de,German,bristly,4.4,borstig,good,NA
de,German,grainy,3.9,k√∂rnig,good,NA
de,German,rocky,4.8,felsig,good,NA
de,German,hairy,0,behaart,good,NA
de,German,furry,-2.8,pelzig,good,NA
de,German,woven,-0.2,gewebte,OK,"should be ""gewebt"" (wrong agreement)"
de,German,prickly,5.2,stachelig,good,NA
de,German,feathered,-4.6,gefiedert,good,NA
de,German,thorny,5.8,dornig,good,NA
de,German,glassy,-4.3,glasig,good,NA
de,German,waxy,-3.6,wachsartig,bad,"should be ""gewachst"""
de,German,greasy,-5.1,fettig,good,NA
nl,Dutch,grooved,1.7,gegroefde,OK,"should be ""gegroefd"" (agreement)"
nl,Dutch,velvety,-5.3,fluweelachtig,good,NA
nl,Dutch,ribbed,3.4,geribd,OK,"should be ""geribbeld"""
nl,Dutch,stubbly,5,stoppelig,good,NA
nl,Dutch,gnarled,4.4,knoestig,good,NA
nl,Dutch,abrasive,6.3,schurende,OK,"should be ""schurend"" (agreement)"
nl,Dutch,bony,2.5,benig,good,NA
nl,Dutch,slippery,-6.2,glad,good,NA
nl,Dutch,lumpy,2.9,klonterige,OK,"should be ""klonterig"" (agreement)"
nl,Dutch,knobby,2.6,knobbelig,good,NA
nl,Dutch,rough,6.2,ruw,good,NA
nl,Dutch,textured,0.8,getextureerde,OK,"exists, but heard as jargon"
nl,Dutch,wooden,1.3,houten,good,NA
nl,Dutch,shiny,-4.2,glimmend,good,NA
nl,Dutch,polished,-5.3,gepolijst,good,NA
nl,Dutch,painted,-3,geschilderd,good,NA
nl,Dutch,rippled,3.1,golfde,OK,"should be ""golvend"" or ""gegolfd"" (went for inflected verb)"
nl,Dutch,bumpy,3.3,hobbelig,good,NA
