ID,Language_ID,Language_name,Parameter_ID,Value,Transcription,Concept,Source,Comment,AlternativeValue,AlternativeTranscription,Type
15-740-126-1,erzy1239,Erzya Mordvin,1884,kalgodo,Phonemic,hard,NA,NA,NA,NA,rough/hard
15-740-127-1,esto1258,Estonian,1884,kəwa,Phonemic,hard,NA,NA,NA,NA,rough/hard
15-740-128-1,finn1318,Finnish,1884,kowa,Phonemic,hard,NA,NA,NA,NA,rough/hard
15-740-128-3,finn1318,Finnish,1884,luya,Phonemic,hard,NA,NA,NA,NA,rough/hard
15-740-131-1,hung1274,Hungarian,1884,kemény,Standard,hard,NA,NA,kemeeɲ,Phonemic,rough/hard
15-740-135-1,khan1273,Khanty,1884,susum,Phonemic,hard,NA,NA,NA,NA,rough/hard
15-740-135-3,khan1273,Khanty,1884,tak,Phonemic,hard,NA,NA,NA,NA,rough/hard
15-740-139-1,komi1268,Komi,1884,čor̃ɩd,Phonemic,hard,NA,NA,NA,NA,rough/hard
15-740-143-1,nort2671,Northern Saami,1884,gɑr̃ɑs,Phonemic,hard,NA,NA,NA,NA,rough/hard
15-740-146-1,mans1258,Mansi,1884,sosum,Phonemic,hard,NA,NA,NA,NA,rough/hard
15-740-146-3,mans1258,Mansi,1884,tak,Phonemic,hard,NA,NA,NA,NA,rough/hard
15-740-147-1,east2328,Mari,1884,'peŋɣəðe ~ 'peškəðe,Phonemic,hard,NA,NA,NA,NA,rough/hard
15-740-148-1,nene1249,Nenets,1884,toyenana,Phonemic,hard,NA,NA,NA,NA,rough/hard
15-740-151-1,selk1253,Selkup,1884,talɨḳɨlʸ,Phonemic,hard,NA,NA,NA,NA,rough/hard
15-740-159-1,udmu1245,Udmurt,1884,c̷ʸur̃ɩt,Phonemic,hard,NA,NA,NA,NA,rough/hard
15-740-167-1,anci1242,Ancient Greek,1884,sklē'ros,LatinTrans,hard,buck1949;liddell1996;magnien1985,NA,NA,NA,rough/hard
15-740-168-1,mode1248,Modern Greek,1884,skli'ros,LatinTrans,hard,buck1949,NA,NA,NA,rough/hard
15-740-169-1,lati1261,Latin,1884,dūrus,StandardOrth,hard,glare1997;ainsworth1923;ernout2001,NA,NA,NA,rough/hard
15-740-170-1,ital1282,Italian,1884,duro,StandardOrth,hard,NA,NA,NA,NA,rough/hard
15-740-171-1,stan1290,French,1884,dur,StandardOrth,hard,NA,NA,NA,NA,rough/hard
15-740-172-1,enap1235,Panare,1884,karatah-pe,Phonemic,hard,NA,NA,NA,NA,rough/hard
15-740-173-1,macu1259,Macushi,1884,saʔme,Phonemic,hard,NA,NA,NA,NA,rough/hard
15-740-175-1,waiw1244,Wai Wai,1884,čeyΦu,Phonemic,hard,NA,NA,NA,NA,rough/hard
15-740-176-1,stan1288,Spanish,1884,duro,Phonemic,hard,NA,NA,NA,NA,rough/hard
15-740-177-1,stan1289,Catalan,1884,dur,StandardOrth,hard,NA,NA,NA,NA,rough/hard
15-740-178-1,port1283,Portuguese,1884,duro,StandardOrth,hard,NA,NA,NA,NA,rough/hard
15-740-179-1,roma1327,Romanian,1884,tare,StandardOrth,hard,NA,NA,NA,NA,rough/hard
15-740-180-1,oldi1245,Old Irish,1884,crūaid,StandardOrth,hard,buck1949,NA,NA,NA,rough/hard
15-740-180-3,oldi1245,Old Irish,1884,calad,StandardOrth,hard,buck1949,NA,NA,NA,rough/hard
15-740-181-1,iris1253,Irish,1884,crua,StandardOrth,hard,NA,NA,NA,NA,rough/hard
15-740-182-1,wels1247,Welsh,1884,caled,StandardOrth,hard,NA,NA,NA,NA,rough/hard
15-740-183-1,bret1244,Breton,1884,kaled,Phonemic,hard,NA,NA,NA,NA,rough/hard
15-740-184-1,goth1244,Gothic,1884,hardus,StandardOrth,hard,lehmann1986,NA,NA,NA,rough/hard
15-740-185-1,oldn1244,Old Norse,1884,harðr,StandardOrth,hard,buck1949,NA,NA,NA,rough/hard
15-740-186-1,dani1285,Danish,1884,hård,StandardOrth,hard,NA,NA,NA,NA,rough/hard
15-740-187-1,swed1254,Swedish,1884,hård,StandardOrth,hard,NA,NA,NA,NA,rough/hard
15-740-188-1,olde1238,Old English,1884,heard,StandardOrth,hard,buck1949;bosworth1898;toller1921;roberts1995,NA,NA,NA,rough/hard
15-740-189-1,midd1317,Middle English,1884,hard,StandardOrth,hard,buck1949;med1952,NA,NA,NA,rough/hard
15-740-190-1,stan1293,English,1884,hard,StandardOrth,hard,NA,NA,NA,NA,rough/hard
15-740-191-1,dutc1256,Dutch,1884,hard,StandardOrth,hard,NA,NA,NA,NA,rough/hard
15-740-192-1,oldh1241,Old High German,1884,hart,StandardOrth,hard,buck1949;schuetzeichel1989,NA,NA,NA,rough/hard
15-740-192-3,oldh1241,Old High German,1884,herti,StandardOrth,hard,buck1949;schuetzeichel1989,NA,NA,NA,rough/hard
15-740-192-5,oldh1241,Old High German,1884,arandi,StandardOrth,hard,buck1949;schuetzeichel1989,NA,NA,NA,rough/hard
15-740-192-7,oldh1241,Old High German,1884,scarp(f)~sar(p)f,StandardOrth,hard,buck1949;schuetzeichel1989,NA,NA,NA,rough/hard
15-740-192-9,oldh1241,Old High German,1884,hanteg,StandardOrth,hard,buck1949;schuetzeichel1989,NA,NA,NA,rough/hard
15-740-192-11,oldh1241,Old High German,1884,un-gi-mah,StandardOrth,hard,buck1949;schuetzeichel1989,NA,NA,NA,rough/hard
15-740-192-13,oldh1241,Old High German,1884,gi-dwungan,StandardOrth,hard,buck1949;schuetzeichel1989,NA,NA,NA,rough/hard
15-740-193-1,midd1343,Middle High German,1884,herte,StandardOrth,hard,buck1949,NA,NA,NA,rough/hard
15-740-193-3,midd1343,Middle High German,1884,hart,StandardOrth,hard,buck1949,NA,NA,NA,rough/hard
15-740-194-1,stan1295,German,1884,hart,StandardOrth,hard,buck1949,hart,NA,Original (M. R. Key),rough/hard
15-740-195-1,east2295,Yiddish,1884,hart,Phonemic,hard,NA,NA,NA,NA,rough/hard
15-740-196-1,lith1251,Lithuanian,1884,kíetas,StandardOrthTone,hard,buck1949,NA,NA,NA,rough/hard
15-740-197-1,latv1249,Latvian,1884,ciets,StandardOrth,hard,buck1949,NA,NA,NA,rough/hard
15-740-199-1,chur1257,Old Church Slavonic,1884,žestokŭ,Phonemic,hard,buck1949,NA,NA,NA,rough/hard
15-740-199-3,chur1257,Old Church Slavonic,1884,tvrŭdŭ,Phonemic,hard,buck1949,NA,NA,NA,rough/hard
15-740-200-1,bulg1262,Bulgarian,1884,tvə́rd,Phonemic,hard,NA,NA,NA,NA,rough/hard
15-740-201-1,sout1528,Serbo-Croatian,1884,tvrd,Phonemic,hard,NA,NA,NA,NA,rough/hard
15-740-202-1,czec1258,Czech,1884,tvrdý,StandardOrth,hard,NA,NA,NA,NA,rough/hard
15-740-203-1,poli1260,Polish,1884,twardy,StandardOrth,hard,NA,NA,NA,NA,rough/hard
15-740-204-1,russ1263,Russian,1884,tvërdyj (žëstkij),Phonemic,hard,NA,NA,NA,NA,rough/hard
15-740-205-1,tosk1239,Albanian (Tosk variety),1884,štəng,Phonemic,hard,NA,NA,NA,NA,rough/hard
15-740-205-3,tosk1239,Albanian (Tosk variety),1884,i 'gurtə,Phonemic,hard,NA,NA,NA,NA,rough/hard
15-740-206-1,east2283,Armenian (Eastern variety),1884,pˀind,Phonemic,hard,NA,NA,NA,NA,rough/hard
15-740-206-3,east2283,Armenian (Eastern variety),1884,kˀarc̷ˀ[ə]r,Phonemic,hard,NA,NA,NA,NA,rough/hard
15-740-207-1,west2348,Armenian (Western variety),1884,bint,Phonemic,hard,NA,NA,NA,NA,rough/hard
15-740-207-3,west2348,Armenian (Western variety),1884,gard͜z[ə]r,Phonemic,hard,NA,NA,NA,NA,rough/hard
15-740-208-1,hitt1242,Hittite,1884,dassu-,LatinTrans,hard,NA,"HEG: 'strong, hard, thick'.",NA,NA,rough/hard
15-740-209-1,tokh1242,Tocharian A,1884,tsär,Phonemic,hard,NA,NA,NA,NA,rough/hard
15-740-210-1,tokh1243,Tocharian B,1884,ścīre,Phonemic,hard,NA,NA,NA,NA,rough/hard
15-740-211-1,sans1269,Sanskrit,1884,dṛḍha-,LatinTrans,hard,NA,NA,NA,NA,rough/hard
15-740-212-1,vlax1238,Romani,1884,zuralo,Phonemic,hard,NA,From zor 'strength'.,NA,NA,rough/hard
15-740-213-1,aves1237,Avestan,1884,xraoždwa-,Phonemic,hard,buck1949,"For example, referring to wood.",NA,NA,rough/hard
15-740-213-3,aves1237,Avestan,1884,xruždra-,Phonemic,hard,buck1949,"For example, referring to wood.",NA,NA,rough/hard
15-740-214-1,west2369,Persian,1884,seft,Phonemic,hard,NA,NA,NA,NA,rough/hard
15-740-215-1,olda1245,Ancient Aramaic,1884,ḳšē,Phonemic,hard,aramaic,NA,NA,NA,rough/hard
15-740-215-3,olda1245,Ancient Aramaic,1884,taḳḳīp,Phonemic,hard,aramaic,NA,NA,NA,rough/hard
15-740-217-1,nege1244,Negerhollands,1884,tai,Phonemic,hard,dejong1926;nelson1936,"Means 'tough, difficult'.",NA,NA,rough/hard
15-740-218-1,jama1262,Jamaican Creole (Limonese Creole dialect),1884,(h)ād,Phonemic,hard,NA,NA,NA,NA,rough/hard
15-740-219-1,basq1248,Basque,1884,'gogor,Phonemic,hard,NA,NA,NA,NA,rough/hard
15-740-220-1,haus1257,Hausa,1884,tauri,Phonemic,hard,bargery1934;newman1990,NA,NA,NA,rough/hard
15-740-221-1,polc1243,Polci,1884,nyaɓi,Phonemic,hard,cosper1996,NA,NA,NA,rough/hard
15-740-222-1,high1278,Nahuatl (Sierra de Zacapoaxtla variety),1884,takʷawa-k,Phonemic,hard,key1953,*Aztecan *tlakʷaawak.,NA,NA,rough/hard
15-740-223-1,zaca1242,Chatino (Zacatepec variety),1884,tla,Phonemic,hard,NA,NA,NA,NA,rough/hard
15-740-224-1,karo1304,Karok,1884,sákrīβ,Phonemic,hard,NA,NA,NA,NA,rough/hard
15-740-225-1,seri1257,Seri,1884,-aiskan,Phonemic,hard,NA,NA,NA,NA,rough/hard
15-740-226-1,zuni1245,Zuni,1884,ɬoʔo-,Phonemic,hard,NA,NA,NA,NA,rough/hard
