phoible_phoneme,r_type
r,trill
r̃,trill
r̩,trill
r̝,trill
r̪,trill
r̺,trill
r̠,trill
r̠̙,trill
r̤,trill
r̥,trill
r̰,trill
r̪|r,trill
r͓̪|r͓,trill
r̪̥|r̥,trill
r̪̰|r̰,trill
rː,trill
r͈ː,trill
r̪ː,trill
r̪ˠ|rˠ,trill
rʱ,trill
rʲ,trill
r̪ʲ,trill
r̠ʲ,trill
r̪ʲ|rʲ,trill
rᶣ,trill
rʷ,trill
rˀ,trill
rʼ,trill
rʼː,trill
rˤ,trill
r̪ˤ|rˤ,trill
rˤː,trill
ʀ,trill
ɹ,other
ɹ̩,other
ɹ̝,other
ɹ̪|ɹ,other
ɹ̪̥|ɹ̥,other
ɹˤ,other
ɹ̰ˤ,other
ɺ,other
ɺ̠,other
ɺ̠̰,other
ɺ̥,other
ɺ̪|ɺ,other
ɺː,other
ɺʲ,other
ɻ,other
ɻː,other
ɻʲ,other
ɻʷ,other
ɽ,other
ɽ̃,other
ɽ̩,other
ɽ̤,other
ɽʱ,other
ɾ,other
ɾ̃,other
ɾ̪,other
ɾ͓,other
ɾ̠,other
ɾ̪̊,other
ɾ̤,other
ɾ̥,other
ɾ̰,other
ɾ̪|ɾ,other
ɾː,other
ɾˠ,other
ɾ̪ˠ,other
ɾ̥ˠ,other
ɾ̪̊ʰ,other
ɾʱ,other
ɾʲ,other
ɾ̥ʲ,other
ɾ̪ʲ|ɾʲ,other
ɾʲʷ,other
ɾʷ,other
ɾˀ,other
ɾˤ,other
