Language,Dataset,AutotypMatch,Trill,Comments,PhoibleMatch
Kisi,Reflex,kiz,NA,NA,NA
Kaado,Reflex,NA,NA,NA,NA
Gbaya,Reflex,gbp,yes,NA,gbp
Maʼdi,Reflex,mhi,NA,NA,mhi
Timne,Reflex,tem,yes,NA,tem
Gevia,Reflex,NA,NA,NA,NA
Kabiyè,Reflex,kbp,yes,NA,kbp
Yoómbe,Reflex,NA,NA,NA,NA
Kanuri,Reflex,"kau, knc",NA,NA,"kau, knc"
Nembe,Reflex,NA,NA,NA,NA
Mandinka,Reflex,mnk,yes,NA,mnk
Kisi,Reflex,kiz,NA,NA,kiz
Erzya Mordvin,IDS,myv,yes,based on wikipedia,myv
Estonian,IDS,est,yes,based on wikipedia,est
Finnish,IDS,fin,yes,NA,fin
Hungarian,IDS,hun,yes,NA,hun
Khanty,IDS,kca,NA,NA,kca
Komi,IDS,kpv,yes,NA,kpv
Northern Saami,IDS,sme,yes,NA,sma
Mansi,IDS,mns,NA,NA,mns
Mari,IDS,mhr,no,tap/flap,mhr
Nenets,IDS,yrk,yes,NA,yrk
Selkup,IDS,sel,NA,NA,sel
Udmurt,IDS,udm,yes,based on wikipedia,udm
Ancient Greek,IDS,grc,NA,NA,grc
Modern Greek,IDS,ell,no,tap; wikipedia says it may be produced as trill in clusters,ell
Latin,IDS,lat,NA,NA,lat
Italian,IDS,ita,yes,NA,ita
French,IDS,fra,yes,NA,fra
Panare,IDS,pbh,no,in addition wikipedia says it's a flap,pbh
Macushi,IDS,mbc,NA,NA,mbc
Wai Wai,IDS,waw,no,flap or approximant,waw
Spanish,IDS,spa,yes,NA,spa
Catalan,IDS,cat,yes,NA,cat
Portuguese,IDS,por,no,flap,por
Romanian,IDS,ron,yes,NA,ron
Old Irish,IDS,NA,NA,NA,NA
Irish,IDS,gle,no,tap,gle
Welsh,IDS,cym,yes,based on wikipedia,cym
Breton,IDS,bre,yes,NA,bre
Gothic,IDS,got,NA,NA,got
Old Norse,IDS,NA,NA,NA,NA
Danish,IDS,dan,no,voiced uvular fricative; says Wikipedia,dan
Swedish,IDS,swe,no,approximant,swe
Old English,IDS,ang,NA,NA,ang
Middle English,IDS,NA,NA,NA,NA
English,IDS,eng,no,approximant,eng
Dutch,IDS,nld,yes,R,nld
Old High German,IDS,goh,NA,NA,goh
Middle High German,IDS,NA,NA,NA,NA
German,IDS,deu,yes,R,deu
Yiddish,IDS,ydd,yes,NA,ydd
Lithuanian,IDS,lit,yes,NA,lit
Latvian,IDS,lav,yes,based on wikipedia,lav
Old Church Slavonic,IDS,NA,NA,NA,NA
Bulgarian,IDS,bul,yes,NA,bul
Serbo-Croatian,IDS,hrv; srp,yes,NA,hrv
Czech,IDS,ces,yes,NA,ces
Polish,IDS,pol,yes,NA,pol
Russian,IDS,rus,yes,NA,rus
Albanian (Tosk variety),IDS,NA,NA,NA,als
Armenian (Eastern variety),IDS,hye,yes,NA,hye
Armenian (Western variety),IDS,hye,yes,NA,hye
Hittite,IDS,NA,NA,NA,NA
Tocharian A,IDS,NA,NA,NA,NA
Tocharian B,IDS,NA,NA,NA,NA
Sanskrit,IDS,NA,yes,NA,NA
Romani,IDS,rmy,yes,based on wikipedia,rmy
Avestan,IDS,ave,NA,NA,ave
Persian,IDS,pes,yes,NA,pes
Ancient Aramaic,IDS,NA,NA,NA,NA
Negerhollands,IDS,dcr,NA,NA,dcr
Jamaican Creole (Limonese Creole dialect),IDS,jam,no,approximant,jam
Basque,IDS,eus,yes,NA,eus
Hausa,IDS,hau,NA,NA,hau
Polci,IDS,plj,yes,based on wikipedia; that's the symbol they use but no description,plj
Nahuatl (Sierra de Zacapoaxtla variety),IDS,azz,no,NA,ncj
Chatino (Zacatepec variety),IDS,ctp,no,NA,ctp
Karok,IDS,kyh,no,flap,kyh
Seri,IDS,sei,no,flap,sei
Zuni,IDS,zun,no,no R-like phoneme,zun
Hawaiian,IDS,haw,no,no R-like phoneme,haw
Maori,IDS,mri,no,flap,mri
Rapa Nui,IDS,rap,no,flap,rap
Rotuman,IDS,rtm,no,r ~ l allophony according to wikipedia,rtm
Tongan,IDS,ton,no,approximant,ton
Tuamotuan,IDS,pmt,no,flap based on Hiroshi Kuki (1969),pmt
Muisca,IDS,chb,no,flap,chb
Páez,IDS,pbb,NA,NA,pbb
Cayapa,IDS,cbi,NA,NA,cbi
Colorado,IDS,cof,NA,NA,cof
Embera,IDS,emp,no,tap/flap ~ trill allophony,emp
Epena,IDS,sja,no,tap/flap ~ trill allophony,sja
Puinave,IDS,pui,NA,NA,pui
Yuwana,IDS,yau,no,flap based on wikipedia,yau
Yaruro,IDS,yae,no,flap based on wikipedia,yae
Ninam (Shirishana variety),IDS,shb,NA,NA,shb
Yanomámi,IDS,wca,NA,NA,wca
Cofán,IDS,con,NA,NA,con
Waorani,IDS,auc,no,no R-like phoneme,auc
Siona,IDS,snn,NA,NA,snn
Tuyuca,IDS,tue,no,flap,tue
Aguaruna,IDS,agr,no,flap,agr
Yagua,IDS,yad,no,flap,yad
Goajiro,IDS,guc,yes,"phoible lists trill and approximant, wikipedia lists trill only",guc
Ignaciano,IDS,ign,no,flap,ign
Trinitario,IDS,trn,NA,NA,trn
Wapishana,IDS,wap,no,flap,wap
Waurá,IDS,wau,NA,NA,wau
Yavitero,IDS,yvt,NA,NA,yvt
Aymara,IDS,ayr,no,flap,ayr
Chipaya,IDS,cap,no,flap,cap
Mosetén,IDS,cas,NA,NA,cas
Araona,IDS,aro,no,no R-like phoneme,aro
Cavineña,IDS,cav,NA,NA,cav
Ese Ejja,IDS,ese,NA,NA,ese
Ese Ejja (Huarayo),IDS,ese,no,no R-like phoneme,ese
Tacana,IDS,tna,no,flap,tna
Cashibo,IDS,iru,NA,NA,iru
Catuquina,IDS,kav,no,"probably Katukina, no R-like phoneme",kav
Chácobo,IDS,cao,NA,NA,cao
Shipibo-Conibo,IDS,shp,NA,NA,shp
Yaminahua,IDS,yaa,no,no R-like phoneme,yaa
Cayuvava,IDS,cyb,NA,NA,cyb
Itonama,IDS,ito,NA,NA,ito
Movima,IDS,mzp,no,tap/flap,mzp
Mundurukú,IDS,myu,NA,NA,myu
Aché,IDS,guq,NA,NA,guq
Chiriguano,IDS,gui,no,tap/flap,gui
Guaraní,IDS,gug,NA,NA,gug
Sirionó,IDS,srq,NA,NA,srq
Wayampi,IDS,oym,no,tap/flap,oym
Kaingáng,IDS,kgp,NA,NA,kgp
Trumai,IDS,tpy,NA,NA,tpy
Ayoreo,IDS,ayo,no,tap/flap,ayo
Sanapaná (Angaité dialect),IDS,sap,NA,NA,sap
Sanapaná (Enlhet dialect),IDS,sap,NA,NA,sap
Lengua,IDS,leg,NA,NA,leg
Mocoví,IDS,moc,NA,NA,moc
Pilagá,IDS,plg,NA,NA,plg
Chorote,IDS,crq; crt,no,no R-like phoneme,crq
Maca,IDS,mca,NA,cannot be determined,mca
Wichí,IDS,mzh,NA,NA,mzh
Nivaclé,IDS,cag,NA,NA,cag
Kunza,IDS,kuz,NA,NA,kuz
Mapudungun,IDS,arn,no,no R-like phoneme,arn
Tehuelche,IDS,teh,NA,NA,teh
Selknam,IDS,ona,NA,cannot be determined,ona
GÌ_nÌ_na KÌ_ne,IDS,pue,NA,NA,pue
Qawasqar,IDS,alc,NA,NA,alc
Toba,IDS,tob,no,tap/flap,tob
Yagán,IDS,yah,NA,NA,yah
Uncunwee,IDS,ghl,NA,cannot be determined,ghl
Central Thai,IDS,tha,no,tap/flap,tha
Southern Tai (Songkhla variety),IDS,tha,no,tap/flap,tha
Thai (Korat variety),IDS,tha,no,tap/flap,tha
Khamuang (Chiang Mai variety),IDS,nod,NA,cannot be determined,nod
Dehong,IDS,tdd; thi,no,no R-like phoneme; based on wikipedia,tdd; thi
Tai Lü,IDS,khb,NA,NA,khb
Tai Khün,IDS,kkh,NA,NA,kkh
Shan,IDS,shn,no,there is a trill but wikipedia says it's marginal,shn
Shan (Northern Shan dialect),IDS,shn,no,there is a trill but wikipedia says it's marginal,shn
