LID,ISO639.3,language,alt.language.name,language.search,lsbranch,ssbranch,sbranch,mbranch,stock,alt.stock.name,stock.search,longitude,latitude,area,continent
199,naq,Nama,"Nama, Khoekhoe","Nama, Nama, Khoekhoe",,,,Khoekhoe,Kwadi-Khoe,Central Khoisan,"Kwadi-Khoe, Central Khoisan",18,-25.5,S Africa,Africa
148,knw,!Kung,"!Xu, !Kung, 	!Hu, !Khung, !Ku, !Kung, !Xu, !Xun, !Xung, Ekoka-!Xíé, Kung, Qxí_, Kung-Ekoka","!Kung, !Xu, !Kung, 	!Hu, !Khung, !Ku, !Kung, !Xu, !Xun, !Xung, Ekoka-!Xíé, Kung, Qxí_, Kung-Ekoka",,,,,Ju,Northern Khoisan,"Ju, Northern Khoisan",18,-19.67,S Africa,Africa
94,hts,Hadza,Hadza,"Hadza, Hadza",,,,,Hadza,,Hadza,35.17,-3.75,S Africa,Africa
347,sad,Sandawe,Sandawe,"Sandawe, Sandawe",,,,,Sandawe,,Sandawe,35,-5,S Africa,Africa
151,kwz,Kwadi,"Kwadi, Cuepe, Curoca","Kwadi, Kwadi, Cuepe, Curoca",,,,Kwadi,Kwadi-Khoe,Central Khoisan,"Kwadi-Khoe, Central Khoisan",12,-16,S Africa,Africa
323,ras,Orig,"Tegali,Orig, Rashad (Kom, Ngakom, Kome)","Orig, Tegali,Orig, Rashad (Kom, Ngakom, Kome)",,,,,Kordofanian,,Kordofanian,31,13,African Savannah,Africa
75,ewe,Ewe,Ewe,"Ewe, Ewe",,,,Gbe,Kwa,,Kwa,0.42,6.33,African Savannah,Africa
172,mnk,Mandinka,Mandinka,"Mandinka, Mandinka",,,,West Mande,Mande,,Mande,-15.67,15,African Savannah,Africa
80,fub,Fula,Fula,"Fula, Fula",,,,,North Atlantic,,North Atlantic,-9,13,African Savannah,Africa
305,ijc,Ijo,"Ijo, Izon","Ijo, Ijo, Izon",,,,,Ijoid,,Ijoid,5.4,4.55,African Savannah,Africa
