Language,ISO_code,Dataset,Family,Branch,Area,Continent,
Nhirrpi,hrp,Chirila,Pama-Nyungan,Karnic,S Australia,Australia,
Wangkayutyuru,wnm,Chirila,Pama-Nyungan,Karnic,S Australia,Australia,
Yorta Yorta,xyy,Chirila,Pama-Nyungan,Yotayotic,S Australia,Australia,
Yabula-Yabula,yxy,Chirila,Pama-Nyungan,Yotayotic,S Australia,Australia,
Wathawurrung,wth,Chirila,Pama-Nyungan,Kulinic,S Australia,Australia,
Buwandik,xbg,Chirila,Pama-Nyungan,Kulinic,S Australia,Australia,
Yan-nhangu,jay,Chirila,Pama-Nyungan,Yolŋu,N Australia,Australia,
Gunggari,kgl,Chirila,Pama-Nyungan,Maric,S Australia,Australia,
Woiwurrung,wyi,Chirila,Pama-Nyungan,Kulinic,S Australia,Australia,
Yugambeh,yub,Chirila,Pama-Nyungan,Bandjalangic,S Australia,Australia,
Nukunu,nnv,Chirila,Pama-Nyungan,Thura-Yura,S Australia,Australia,
Wiradjuri,wrh,Chirila,Pama-Nyungan,Central NSW,S Australia,Australia,
Wulguru,qgu,Chirila,Pama-Nyungan,Dyirbalic,S Australia,Australia,
Ayapathu,ayd,Chirila,Pama-Nyungan,Paman,N Australia,Australia,
Bidjara,bym,Chirila,Pama-Nyungan,Maric,S Australia,Australia,
Birrpayi,xbj,Chirila,Pama-Nyungan,Yuin-Kuric,S Australia,Australia,
Wulna,wux,Chirila,Pama-Nyungan,Limilngan,N Australia,Australia,
Yagara,yxg,Chirila,Pama-Nyungan,Durubalic,S Australia,Australia,
Iyora,none,Chirila,Pama-Nyungan,Yuin-Kuric,S Australia,Australia,
Wiradjuri,wrh,Chirila,Pama-Nyungan,Central NSW,S Australia,Australia,
Awabakal,awk,Chirila,Pama-Nyungan,Central NSW,S Australia,Australia,
Wajuk,xwj,Chirila,Pama-Nyungan,Nyungic,S Australia,Australia,
Kurtjar,gdj,Chirila,Pama-Nyungan,Paman,N Australia,Australia,
Aghu-Tharnggala,ggr,Chirila,Pama-Nyungan,Paman,N Australia,Australia,
Koko-Bera,kkp,Chirila,Pama-Nyungan,Paman,N Australia,Australia,
Djadjala,weg,Chirila,Pama-Nyungan,Kulinic,S Australia,Australia,
Barrow Point,bpt,Chirila,Pama-Nyungan,Paman,N Australia,Australia,
Nimanburru,nmp,Chirila,Nyulnyulan,Western Nyulnyulan,N Australia,Australia,
Ngumbarl,?wyb,Chirila,Nyulnyulan,Eastern Nyulnyulan,N Australia,Australia,
Guwamu,gwu,Chirila,Pama-Nyungan,Maric,S Australia,Australia,
Tjapwurrung,tjw,Chirila,Pama-Nyungan,Kulin,S Australia,Australia,
Atampaya,amz,Chirila,Pama-Nyungan,Paman,N Australia,Australia,
Purduna,bxn,Chirila,Pama-Nyungan,Kanyara-Mantharta,S Australia,Australia,
Yaygir,yyg,Chirila,Pama-Nyungan,Gumbaynggiric,S Australia,Australia,
Negerhollands,dcr,IDS,Negerhollands,NA,Mesoamerica,C America,
Polci,plj,IDS,Chadic,West Chadic,African Savannah,Africa,
Trinitario,trn,IDS,Arawakan,Bolivian,NE South America,S America,
Yavitero,yvt,IDS,Arawakan,North Amazonian,NE South America,S America,
Catuquina,kav,IDS,Katukinan,NA,NE South America,S America,
Sanapaná (Angaité dialect),sap,IDS,Mascoian,NA,SE South America,S America,
Sanapaná (Enlhet dialect),sap,IDS,Mascoian,NA,SE South America,S America,
Wichí,mzh,IDS,Matacoan,NA,SE South America,S America,
Khamuang (Chiang Mai variety),nod,IDS,Tai-Kadai,NA,Indic,S/SE Asia,
Dehong,tdd; thi,IDS,Tai-Kadai,NA,Southeast Asia,S/SE Asia,
Nung-Fengshan,zgn,IDS,Tai-Kadai,NA,Southeast Asia,S/SE Asia,
Nung-Lazhai,zgn,IDS,Tai-Kadai,NA,Southeast Asia,S/SE Asia,
Zhuang-Longzhou,zzj,IDS,Tai-Kadai,NA,Southeast Asia,S/SE Asia,
