Language,AutotypMatch,Dataset,family_name,macroarea,latitude,longitude
Nedebang,nec,CLICS,Timor-Alor-Pantar,Papunesia,-8.28776,124.192
Geser-Gorom,ges,CLICS,Austronesian,Papunesia,-3.8016,130.701
Judeo-Tat,jdt,CLICS,Indo-European,Eurasia,42.068306,48.264749
Funai Helong,heg,CLICS,Austronesian,Papunesia,NA,NA
Zinacantán Tzotzil,tzo,CLICS,Mayan,North America,16.6362,-92.7388
Chadong,cdy,CLICS,Tai-Kadai,Eurasia,25.23532,109.96041
Tii,txq,CLICS,Austronesian,Papunesia,-10.8425,122.963
"Tetun, Suai",tdt,CLICS,Austronesian,Papunesia,NA,NA
Rembong,reb,CLICS,Austronesian,Papunesia,NA,NA
"Central Lembata, Kalikasa",lvu,CLICS,Austronesian,Papunesia,NA,NA
"Reta, Pura",ret,CLICS,Timor-Alor-Pantar,Papunesia,-8.22481,124.36
Lamboya,lmy,CLICS,Austronesian,Papunesia,-9.70434,119.344
Busoa,bup,CLICS,Austronesian,Papunesia,-5.60524,122.622
Togo_Kan,dtm,CLICS,Dogon,Africa,NA,NA
Kotos Amarasi,aaz,CLICS,Austronesian,Papunesia,NA,NA
"Kula, Lantoka",tpg,CLICS,Timor-Alor-Pantar,Papunesia,-8.2384,125.004
"Nage, East",nxe,CLICS,Austronesian,Papunesia,-8.70513,121.31
Batuley,bay,CLICS,Austronesian,Papunesia,-5.814412,134.784314
Uruangnirin,urn,CLICS,Austronesian,Papunesia,-3.45498,132.745
Waerana,wrx,CLICS,Austronesian,Papunesia,-8.78645,120.70299
Ceq Wong,cwg,CLICS,Austroasiatic,Eurasia,3.83331,102.081
Bankan_Tey,dbw,CLICS,Dogon,Africa,15.06,-2.92
Jinsha Dai,tiz,CLICS,Hmong-Mien,Eurasia,26.7238,106.682
Phom,nph,CLICS,Sino-Tibetan,Eurasia,26.4715,94.7476
Welaun,wlh,CLICS,Austronesian,NA,NA,NA
Blagar,beu,CLICS,Timor-Alor-Pantar,Papunesia,-8.31787,124.251
Kaera,jka,CLICS,Timor-Alor-Pantar,Papunesia,NA,NA
Naueti,nxa,CLICS,Austronesian,Papunesia,-8.70733,126.741
Nanga,nzz,CLICS,Dogon,Africa,14.49,-3.02
Ben_Tey,dbt,CLICS,Dogon,Africa,14.78,-2.94
Yanda_Dom,dym,CLICS,Dogon,Africa,14.63,-3.15
Maonan,mmd,CLICS,Tai-Kadai,Eurasia,25.0169,108.024
Oroqen,orh,CLICS,Tungusic,Eurasia,50.6319,125.017
Waima'a,wmh,CLICS,Austronesian,Papunesia,-8.53416,126.317
Maram,nma,CLICS,Sino-Tibetan,Eurasia,25.4378,94.2205
Liangmai,njn,CLICS,Sino-Tibetan,Eurasia,25.16,93.542
Puiron,nbu,CLICS,Sino-Tibetan,Eurasia,25.098,93.7869
Lio,ljl,CLICS,Austronesian,Papunesia,-8.68615,121.832
Rengma,nre,CLICS,Sino-Tibetan,Eurasia,26.1178,94.6853
Fataluku,ddg,CLICS,Timor-Alor-Pantar,Papunesia,-8.49464,127.08
Dhao,nfa,CLICS,Austronesian,Papunesia,-10.8098,122.658
"Kemak, Kailaku",kem,CLICS,Austronesian,Papunesia,-9.00299,125.159
"Alorese, Baranusa",aol,CLICS,Austronesian,Papunesia,-8.20382,124.264
Mombo,dmb,CLICS,Dogon,Africa,14.376155,-3.664799
Tiranige_Diga,tde,CLICS,Dogon,Africa,14.76,-3.7
Tommo_So,dto,CLICS,Dogon,Africa,14.756,-3.28
Konyak,nbe,CLICS,Sino-Tibetan,NA,NA,NA
Sangtam,nsa,CLICS,Sino-Tibetan,Eurasia,25.8581,94.6279
Ghari,gri,CLICS,Austronesian,Papunesia,-9.4791,159.917
Asumboa,aua,CLICS,Austronesian,Papunesia,-11.2969,166.499
Bonerate,bna,CLICS,Austronesian,Papunesia,-7.37657,121.792
Kumbewaha,xks,CLICS,Austronesian,Papunesia,-5.34485,123.154
Lasalimu,llm,CLICS,Austronesian,Papunesia,-5.23602,123.129
Lokuru,tqu,CLICS,Touo,Papunesia,-8.58405,157.296
Konda,knd,CLICS,Konda-Yahadian,Papunesia,-1.82635,132.06
Nosu,iii,CLICS,Sino-Tibetan,Eurasia,28.1947,102.121
