Variety,Subgroup,Family,ISO Code,Glottolog ID,AIATSIS Code,StdLangID,StdLanguageName,OriginalForm,PhonemicisedIPA,Std_Gloss,Author,OriginalGloss,OriginalPofSpeech,Latitude,Longitude,Reconstruction_Form,Reconstruction_Level,Reconstruction_Gloss,Reconstruction_Notes
Gamilaraay,Central NSW,Pama-Nyungan,kld,gami1243,D23,1023,Gamilaraay,ngaarr,ŋaːr,hard,"Ash, A. and Lissarrague, A. and Giacon, J",hard,Adj,-29.91686548094372,149.6172318830019,NA,NA,NA,NA
Gamilaraay,Central NSW,Pama-Nyungan,kld,gami1243,D23,1023,Gamilaraay,mulamula,mulamula,soft,"Ash, A. and Lissarrague, A. and Giacon, J",soft,Adj,-29.91686548094372,149.6172318830019,*mula,N/A,(a fluid),"Could the 'unclear' Kurrama etc words be related to mulha, mula, etc a widespread word for 'cooked (meat)?'"
Yuwaalaraay,Central NSW,Pama-Nyungan,kld,yuwa1242,D27,5,Yuwaalaraay,"walan, walanbaa",walan,hard,"Ash, A. and Lissarrague, A. and Giacon, J",hard,Adj,-29.85302243209663,147.9291115132208,NA,NA,NA,NA
Yuwaalaraay,Central NSW,Pama-Nyungan,kld,yuwa1242,D27,5,Yuwaalaraay,"mulamula, mula",mulamula,soft,"Ash, A. and Lissarrague, A. and Giacon, J",soft,Adj,-29.85302243209663,147.9291115132208,*mula,N/A,(a fluid),"Could the 'unclear' Kurrama etc words be related to mulha, mula, etc a widespread word for 'cooked (meat)?'"
Yuwaalaraay,Central NSW,Pama-Nyungan,kld,yuwa1242,D27,5,Yuwaalaraay,walan,walan,hard,"Ash, A. and Lissarrague, A. and Giacon, J",hard,Adj,-29.85302243209663,147.9291115132208,NA,NA,NA,NA
Yuwaalaraay,Central NSW,Pama-Nyungan,kld,yuwa1242,D27,5,Yuwaalaraay,mulamula,mulamula,soft,"Ash, A. and Lissarrague, A. and Giacon, J",soft,Adj,-29.85302243209663,147.9291115132208,*mula,N/A,(a fluid),"Could the 'unclear' Kurrama etc words be related to mulha, mula, etc a widespread word for 'cooked (meat)?'"
Yuwaalaraay,Central NSW,Pama-Nyungan,kld,yuwa1242,D27,5,Yuwaalaraay,walanbaa,walanpaː,hard,"Ash, A. and Lissarrague, A. and Giacon, J",hard,Adj,-29.85302243209663,147.9291115132208,NA,NA,NA,NA
Yuwaalaraay,Central NSW,Pama-Nyungan,kld,yuwa1242,D27,5,Yuwaalaraay,mula,mula,soft,"Ash, A. and Lissarrague, A. and Giacon, J",soft,Adj,-29.85302243209663,147.9291115132208,*mula,N/A,(a fluid),"Could the 'unclear' Kurrama etc words be related to mulha, mula, etc a widespread word for 'cooked (meat)?'"
Yuwaalaraay,Central NSW,Pama-Nyungan,kld,yuwa1242,D27,5,Yuwaalaraay,-DHuul,-t̪uːl,hard,"Ash, A. and Lissarrague, A. and Giacon, J",hard,Adj,-29.85302243209663,147.9291115132208,NA,NA,NA,NA
Yuwaalayaay,Central NSW,Pama-Nyungan,kld,yuwa1243,D54*,4,Yuwaaliyaay,"walan, walanbaa",walan,hard,"Ash, A. and Lissarrague, A. and Giacon, J",hard,Adj,-29.84291122144783,149.806501013693,NA,NA,NA,NA
