Dataset,language.id,language.name,glottocode,latitude,longitude,family,concept,form_id,value,form
diacl,diacl-57800,Batsbi,bats1242,42.039273,45.29342,Nakh-Daghestanian,SMOOTH,diacl-57800-149_smooth-1,šareⁿ,šareⁿ
diacl,diacl-58200,Lezgian,lezg1247,41.553811,48.038979,Nakh-Daghestanian,SMOOTH,diacl-58200-149_smooth-1,c'alc'am,c'alc'am
diacl,diacl-58800,Abkhaz,abkh1244,42.999497,41.017252,Abkhaz-Adyge,SMOOTH,diacl-58800-149_smooth-1,a-ja-šˠa,a-ja-šˠa
diacl,diacl-56500,Georgian,nucl1302,41.619549,44.824791,Kartvelian,SMOOTH,diacl-56500-149_smooth-1,gluvi,gluvi
diacl,diacl-56900,Laz,lazz1240,41.462154,41.569662,Kartvelian,SMOOTH,diacl-56900-149_smooth-1,gangali,gangali
diacl,diacl-57000,Megrelian,ming1252,42.373764,41.937332,Kartvelian,SMOOTH,diacl-57000-149_smooth-1,"gluvi, gluv",gluvi
diacl,diacl-56550,Old Georgian,oldg1234,41.840144,44.708626,Kartvelian,SMOOTH,diacl-56550-149_smooth-1,gluvi,gluvi
diacl,diacl-22200,Indonesian,indo1316,-6.16417,106.846225,Austronesian,SMOOTH,diacl-22200-149_smooth-1,licin; lancar,licin
diacl,diacl-44900,Romani (Arli),balk1252,42.970349,19.881168,Indo-European,SMOOTH,diacl-44900-149_smooth-1,sajekhalo,sajekhalo
diacl,diacl-46600,Romani (Burgenland),burg1246,47.193164,16.377534,Indo-European,SMOOTH,diacl-46600-149_smooth-1,gloti,gloti
diacl,diacl-47900,Romani (Lovara),vlax1238,47.401544,23.090199,Indo-European,SMOOTH,diacl-47900-149_smooth-1,ravno,ravno
diacl,diacl-47900,Romani (Lovara),vlax1238,47.401544,23.090199,Indo-European,SMOOTH,diacl-47900-149_smooth-2,šima,šima
diacl,diacl-45600,Romani (Ursari),ursa1238,46.085349,24.592698,Indo-European,SMOOTH,diacl-45600-149_smooth-1,netedo,netedo
diacl,diacl-45000,Romani (Bugurdži),bugu1249,42.118106,21.222651,Indo-European,SMOOTH,diacl-45000-149_smooth-1,khovlo,khovlo
diacl,diacl-45800,Romani (East Slovak),east2314,49.763272,15.255232,Indo-European,SMOOTH,diacl-45800-149_smooth-1,šľiskaco,šľiskaco
diacl,diacl-45200,Romani (Kosovo Arli),balk1252,42.516912,20.960514,Indo-European,SMOOTH,diacl-45200-149_smooth-1,mazno,mazno
diacl,diacl-45200,Romani (Kosovo Arli),balk1252,42.516912,20.960514,Indo-European,SMOOTH,diacl-45200-149_smooth-2,glatko,glatko
diacl,diacl-47000,Romani (North Russian),nort2655,54.002981,32.363493,Indo-European,SMOOTH,diacl-47000-149_smooth-1,gladko,gladko
diacl,diacl-33900,Kuikúro-Kalapálo,kuik1246,-8.944098,-52.131742,Cariban,SMOOTH,diacl-33900-149_smooth-1,takujihiti,takujihiti
diacl,diacl-59500,Kashinawá,cash1254,-10.026289,-71.393669,Pano-Tacanan,SMOOTH,diacl-59500-149_smooth-1,mayun,mayun
diacl,diacl-56000,Xokleng,xokl1240,-27.16847,-49.321967,Nuclear-Macro-Je,SMOOTH,diacl-56000-149_smooth-1,kódél,kódél
diacl,diacl-65500,Kamayurá,kama1373,-11.955425148,-53.300745001,Tupian,SMOOTH,diacl-65500-149_smooth-1,ijym,ijym
halenepal,halenepal-Chepang,Chepang,chep1245,27.7206,84.9017,Sino-Tibetan,SMOOTH,halenepal-Chepang-1676_smooth-1,yum.ʔo,yum.ʔo
halenepal,halenepal-Gurung,Gurung,guru1261,27.41687,86.28988,Sino-Tibetan,SMOOTH,halenepal-Gurung-1676_smooth-1,ciqllo,ciqllo
halenepal,halenepal-JirelTibetan,Tibetan (Jirel),jire1238,27.6931,86.3201,Sino-Tibetan,SMOOTH,halenepal-JirelTibetan-1676_smooth-1,pilpilq,pilpilq
halenepal,halenepal-Kaike,Kaike,kaik1246,28.853,83.1384,Sino-Tibetan,SMOOTH,halenepal-Kaike-1676_smooth-1,phil philma,phil_philma
halenepal,halenepal-Khaling,Khaling,khal1275,27.3912,87.5053,Sino-Tibetan,SMOOTH,halenepal-Khaling-1676_smooth-1,'solāemim,'solāemim
halenepal,halenepal-Kham,Kham,parb1234,None,None,Sino-Tibetan,SMOOTH,halenepal-Kham-1676_smooth-1,ra:h.o,ra:h.o
halenepal,halenepal-Magar,Magar,maga1261,None,None,Sino-Tibetan,SMOOTH,halenepal-Magar-1676_smooth-1,ling-ke,ling-ke
halenepal,halenepal-Nepali,Nepali,nepa1254,28.0,85.0,Indo-European,SMOOTH,halenepal-Nepali-1676_smooth-1,cillā,cillā
halenepal,halenepal-Newar,Newar,newa1246,27.2614,84.9577,Sino-Tibetan,SMOOTH,halenepal-Newar-1676_smooth-1,culu,culu
halenepal,halenepal-Newar,Newar,newa1246,27.2614,84.9577,Sino-Tibetan,SMOOTH,halenepal-Newar-1676_smooth-2,picu-gu,picu-gu
halenepal,halenepal-SherpaTibetan,Tibetan (Sherpa),sher1255,27.674,86.9994,Sino-Tibetan,SMOOTH,halenepal-SherpaTibetan-1676_smooth-1,yulq dangbā,yulq_dangbā
halenepal,halenepal-Sunwar,Sunwar,sunw1242,27.5201,86.2476,Sino-Tibetan,SMOOTH,halenepal-Sunwar-1676_smooth-1,silsil,silsil
halenepal,halenepal-SahuTamang,Tamang (Sahu),west2415,28.0239,85.0563,Sino-Tibetan,SMOOTH,halenepal-SahuTamang-1676_smooth-1,plā:-pā,plā:-pā
halenepal,halenepal-Thakali,Thakali,thak1245,28.7014,83.6466,Sino-Tibetan,SMOOTH,halenepal-Thakali-1676_smooth-1,cyahm-pa,cyahm-pa
halenepal,halenepal-Chepang,Chepang,chep1245,27.7206,84.9017,Sino-Tibetan,SMOOTH,halenepal-Chepang-1676_smooth-2,yum.ʔo,yum.ʔo
halenepal,halenepal-Gurung,Gurung,guru1261,27.41687,86.28988,Sino-Tibetan,SMOOTH,halenepal-Gurung-1676_smooth-2,ciqllo,ciqllo
halenepal,halenepal-JirelTibetan,Tibetan (Jirel),jire1238,27.6931,86.3201,Sino-Tibetan,SMOOTH,halenepal-JirelTibetan-1676_smooth-2,pilpilq,pilpilq
halenepal,halenepal-Kaike,Kaike,kaik1246,28.853,83.1384,Sino-Tibetan,SMOOTH,halenepal-Kaike-1676_smooth-2,phil philma,phil_philma
halenepal,halenepal-Khaling,Khaling,khal1275,27.3912,87.5053,Sino-Tibetan,SMOOTH,halenepal-Khaling-1676_smooth-2,'solāemim,'solāemim
halenepal,halenepal-Kham,Kham,parb1234,None,None,Sino-Tibetan,SMOOTH,halenepal-Kham-1676_smooth-2,ra:h.o,ra:h.o
halenepal,halenepal-Magar,Magar,maga1261,None,None,Sino-Tibetan,SMOOTH,halenepal-Magar-1676_smooth-2,ling-ke,ling-ke
halenepal,halenepal-Nepali,Nepali,nepa1254,28.0,85.0,Indo-European,SMOOTH,halenepal-Nepali-1676_smooth-2,cillā,cillā
halenepal,halenepal-Newar,Newar,newa1246,27.2614,84.9577,Sino-Tibetan,SMOOTH,halenepal-Newar-1676_smooth-3,culu,culu
halenepal,halenepal-Newar,Newar,newa1246,27.2614,84.9577,Sino-Tibetan,SMOOTH,halenepal-Newar-1676_smooth-4,picu-gu,picu-gu
halenepal,halenepal-SherpaTibetan,Tibetan (Sherpa),sher1255,27.674,86.9994,Sino-Tibetan,SMOOTH,halenepal-SherpaTibetan-1676_smooth-2,yulq dangbā,yulq_dangbā
halenepal,halenepal-Sunwar,Sunwar,sunw1242,27.5201,86.2476,Sino-Tibetan,SMOOTH,halenepal-Sunwar-1676_smooth-2,silsil,silsil
halenepal,halenepal-SahuTamang,Tamang (Sahu),west2415,28.0239,85.0563,Sino-Tibetan,SMOOTH,halenepal-SahuTamang-1676_smooth-2,plā:-pā,plā:-pā
