ID,Name,Parameter,Language,Frequency,Confidence,References,Language_broad,n,Dataset,AutotypMatch,R_type,Comments,PhoibleMatch
ids-319-15-760-2,aenaekhsaest,ROUGH,Ossetic,NA,NA,NA,Ossetic,1,CLICS,oss,NA,NA,oss
wold-TarifiytBerber-1038_rough1-1,ahasaw,ROUGH,Tarifiyt Berber,NA,NA,NA,Tarifiyt Berber,1,CLICS,rif,NA,NA,rif
robinsonap-abui-235_rough-1,ahoifang,ROUGH,Abui,NA,NA,NA,Abui,5,CLICS,abz,trill,wiki,NA
robinsonap-kamang-235_rough-1,aooba,ROUGH,Kamang,NA,NA,NA,Kamang,2,CLICS,woi,NA,NA,woi
robinsonap-nedebang-235_rough-1,aradda,ROUGH,Nedebang,NA,NA,NA,Nedebang,1,CLICS,nec,NA,NA,NA
lexirumah-gese1240-rough-1,asar,ROUGH,Geser-Gorom,NA,NA,NA,Geser-Gorom,1,CLICS,ges,NA,NA,NA
marrisonnaga-Dimasa-617_rough-1,baraba,ROUGH,Dimasa,NA,NA,NA,Dimasa,1,CLICS,dis,trill,"Brahma, Pratima (2014). Phonology and morphology of Bodo and Dimasa: a comparative study (PhD), http://shodhganga.inflibnet.ac.in:8080/jspui/bitstream/10603/21160/8/08_chapter%203.pdf",NA
ids-68-15-760-3,begemdaru,ROUGH,Tabasaran (Southern dialect),NA,NA,NA,Tabasaran,2,CLICS,tab,trill,wiki,NA
ids-51-15-760-3,bigubitsub,ROUGH,Chamalal,NA,NA,NA,Chamalal,2,CLICS,cji,trill,https://omniglot.com/writing/chamalal.htm,NA
ids-74-15-760-1,bikhurmetlue,ROUGH,Judeo-Tat,NA,NA,NA,Judeo-Tat,1,CLICS,jdt,no trill,wiki,NA
wold-Qeqchi-1038_rough1-1,biqbiq,ROUGH,Q'eqchi',NA,NA,NA,Q'eqchi',1,CLICS,kek,NA,NA,kek
ids-42-15-760-1,bolioiu,ROUGH,Hinuq,NA,NA,NA,Hinuq,1,CLICS,gin,trill,wiki,NA
wold-SeychellesCreole-1038_rough1-2,brit,ROUGH,Seychelles Creole,NA,NA,NA,Seychelles Creole,1,CLICS,crs,NA,NA,NA
lexirumah-funa1237-rough-1,bseda,ROUGH,Funai Helong,NA,NA,NA,Funai Helong,1,CLICS,heg,NA,NA,NA
marrisonnaga-Lushai-617_rough-1,buan,ROUGH,Lushai,NA,NA,NA,Lushai,1,CLICS,lus,NA,NA,lus
marrisonnaga-Lushai-617_rough-2,buk,ROUGH,Lushai,NA,NA,NA,Lushai,1,CLICS,lus,NA,NA,lus
wold-Qeqchi-1038_rough1-3,buruxburux,ROUGH,Q'eqchi',NA,NA,NA,Q'eqchi',1,CLICS,kek,NA,NA,kek
halenepal-Chepang-1677_rough-1,ceko,ROUGH,Chepang,NA,NA,NA,Chepang,1,CLICS,cdm,NA,NA,cdm
ids-52-15-760-1,chiechieru,ROUGH,Hunzib,NA,NA,NA,Hunzib,1,CLICS,huz,trill,wiki,NA
wold-ZinacantanTzotzil-1038_rough1-1,chixaltik,ROUGH,Zinacantán Tzotzil,NA,NA,NA,Zinacantán Tzotzil,1,CLICS,tzo,NA,NA,tzo
ids-418-15-760-1,chu1,ROUGH,Chadong,NA,NA,NA,Chadong,1,CLICS,cdy,NA,NA,NA
