Language,Dataset,AutotypMatch,R_type,Comments,PhoibleMatch
Abkhaz,CLICS,abk,trill,wiki,
Abui,CLICS,abz,trill,wiki,
Achagua,CLICS,aca,,,aca
Adang,CLICS,adn,,,adn
Adonara Lamaholot,CLICS,slp,trill,"Michels, M (2017) Western Lamaholot: a cross-dialectal grammar sketch. MA Thesis.",
Adyghe,CLICS,ady,trill,wiki,
Aghul,CLICS,agx,trill,wiki,
Akhvakh (Northern dialect),CLICS,akv,trill,wiki,
Aleut,CLICS,ale,,,ale
"Alorese, Baranusa",CLICS,aol,trill,"Klamer, Margaretha Anna Flora. (2011). A short grammar of Alorese (Austronesian). Muenchen: Lincom Europa.",
Andi,CLICS,ani,trill,wiki,
Angami Kohima,CLICS,njm,no trill,wiki,njm
Anong,CLICS,nun,no trill,,
Anuta,CLICS,aud,no trill,"Feinberg, Richard (1977). The Anutan Language Reconsidered: Lexicon and Grammar of a Polynesian Outlier, Volume 1. Human Relations Area Files.",
Ao Chungli,CLICS,njo,,,njo
Archi,CLICS,aqc,,,aqc
'Are'are (1),CLICS,alu,no trill,wiki,
Arosi (1),CLICS,aia,no trill,"""r is a definite flap"", Arthur, Capell (1971). Arosi Grammar. Series B - No. 20. Canberra: Australian National University.",
Asumboa,CLICS,aua,,,
Atsi [Zaiwa],CLICS,atb,,,atb
Avar,CLICS,ava,,,ava
Awa,CLICS,kwi,,,kwi
"Awyu, South (Syiagha Dialect)",CLICS,aws,,,
Bagvalal,CLICS,kva,,,
Bai (Jianchuan),CLICS,bca,,,bca
Bambara,CLICS,bam,,,bam
Bangime,CLICS,dba,no trill,,
Bankan_Tey,CLICS,dbw,,,
Bará,CLICS,bao,,,bao
Barasana,CLICS,bsn,,,bsn
Bashkir,CLICS,bak,,,bak
Batuley,CLICS,bay,trill,,
Bauro (1),CLICS,bxa,,,
Ben_Tey,CLICS,dbt,,,
Bezhta,CLICS,kap,trill,wiki,
Biak,CLICS,bhw,,,bhw
Bima,CLICS,bhp,,,
Blablanga,CLICS,blp,trill,"Voica, Radu (2017). A fieldwork-based approach to Blanga (Blablanga), an Austronesian language of the Solomon Islands, with reference to predicate-argument relations(PhD). SOAS University of London.",
Blagar,CLICS,beu,trill,"Steinhauer, Hein (2014). ""Blagar"". In Schapper, Antoinette (ed.). The Papuan Languages of Timor, Alor and Pantar: Volume 1: Sketch Grammars. Walter de Gruyter. pp. 147–219",
Bonerate,CLICS,bna,,,
Bora,CLICS,boa,,,boa
Botlikh,CLICS,bph,,,
Budukh,CLICS,bdk,,,
Buma,CLICS,tkw,,,
"Bunak, Bobonaro",CLICS,bfn,trill,"Schapper, Antoinette (2009). Bunaq: a Papuan language of central Timor (Ph.D. thesis)",
Bunoge,CLICS,dgb,no trill,"Heath, Jeffrey (2017), A grammar of Bunoge (Dogon, Mali),",
Buru,CLICS,mhs,trill,"Grimes, Charles E. (1991). The Buru language of Eastern Indonesia (Ph.D. thesis). Australian National University.",
Burushaski,CLICS,bsk,,,bsk
Buryat,CLICS,bua,trill,,
Busoa,CLICS,bup,,,
Carapana,CLICS,cbc,trill,"""vibrante""; Instituto Linguistico de Verano (1973) Sistemas fonologicos de idiomas colombianos. Vol 2. Editorial Townsend. p. 126.",cbc
Carijona,CLICS,cbd,no rhotic,http://www.native-languages.org/carijona_guide.htm,cbd
Catío,CLICS,cto,trill,wiki,cto
"Central Lembata, Kalikasa",CLICS,lvu,trill,"Krauße, Daniel (2016). ""A Brief Grammar of the Eastern Atadei Language of Lembata, Indonesia"" (PDF). Linguistik Indonesia. 34 (2)",
Central Siberian Yupik,CLICS,ess,no rhotic,wiki,ess
Ceq Wong,CLICS,cwg,,,
Chadong,CLICS,cdy,,,
Chamalal,CLICS,cji,trill,https://omniglot.com/writing/chamalal.htm,
Chang,CLICS,nbc,,,
Chechen,CLICS,che,,,che
Chepang,CLICS,cdm,,,cdm
Chimila,CLICS,cbg,,,cbg
Chinbon,CLICS,csh,no rhotic,wiki,
Chukchi,CLICS,ckt,,,ckt
Chuvash,CLICS,chv,,,chv
"Cia-Cia, Masiri",CLICS,cia,,,
Cubeo,CLICS,cub,,,cub
Cuiba,CLICS,cui,,,cui
Curripaco,CLICS,kpc,,,kpc
Daai,CLICS,dao,no rhotic,wiki,
Dadu'a,CLICS,ilu,trill,"Hinton, Bryan D. (2000). ""The languages of Wetar: recent survey results and word lists with notes on Tugun grammar"". In Grimes, Charles E. (ed.). Spices from the East: Papers in Languages of Eastern Indonesia. Canberra: Pacific Linguistics. pp. 105–129",
Darang [Taraon],CLICS,mhu,,,
Dargwa,CLICS,dar,trill,wiki,
Dela,CLICS,row,trill,https://www.omniglot.com/writing/westernrote.htm,
Desano,CLICS,des,no rhotic,wiki,des
Dhadhaje,CLICS,bgt,,,
Dhao,CLICS,nfa,trill,https://sil-philippines-languages.org/ical/papers/Grimes-Hawu_Dhao.pdf?_ga=GA1.2.34923686.1554420071&_gid=GA1.2.2128814745.1594140462,
Dimasa,CLICS,dis,trill,"Brahma, Pratima (2014). Phonology and morphology of Bodo and Dimasa: a comparative study (PhD), http://shodhganga.inflibnet.ac.in:8080/jspui/bitstream/10603/21160/8/08_chapter%203.pdf",
Dí̵mi̵na,CLICS,mbp,,,mbp
Dobel,CLICS,kvo,trill,"Hughes, Jock (2000). ""The morphology of Dobel, Aru, with special reference to reduplication"". In Grimes, C.E. (ed.). Spices from the East: Papers in languages of Eastern Indonesia. Pacific Linguistics No. 503. Canberra: Pacific Linguistics. pp. 131–180. doi:10.15144/PL-503.131.",
Dori'o,CLICS,dor,,,
Embera Chamí,CLICS,cmi,mixed with trill,,cmi
Ende,CLICS,end,trill,wiki,
Ergong (Danba),CLICS,ero,,,
Ersu,CLICS,ers,no rhotic,,
Evenki,CLICS,evn,trill,wiki,
Faghani,CLICS,faf,,,
Fataleka,CLICS,far,,,
Fataluku,CLICS,ddg,trill,http://ling.hawaii.edu/wp-content/uploads/TylerHestonFinal.pdf,
Forest Enets,CLICS,enf,trill,wiki,
Fulfulde,CLICS,ffm,,,ffm
Funai Helong,CLICS,heg,,,
Galolen,CLICS,gal,trill,https://omniglot.com/writing/galoli.htm,
Gawwada,CLICS,gwd,,,
Geser-Gorom,CLICS,ges,,,
Ghanongga,CLICS,ghn,,,
Ghari,CLICS,gri,,,
Godoberi,CLICS,gdo,,,
Guahibo,CLICS,guh,,,guh
Guambiano,CLICS,gum,,,gum
Guayabero,CLICS,guo,,,guo
Guiqiong,CLICS,gqi,no rhotic,wiki,
Gurindji,CLICS,gue,mixed with trill,wiki,
Gurung,CLICS,ggn; gvr,trill,https://audio-video.shanti.virginia.edu/video/gurung-man-describes-otar-village,
Hani,CLICS,hni,no rhotic,wiki,
Hatam,CLICS,had,no trill,wiki,
"Hawu, Seba",CLICS,hvn,trill,Walker (1982) A Grammar of Sawu. https://openresearch-repository.anu.edu.au/bitstream/1885/111434/1/01_Walker_A_Grammar_of_Sawu_1982.pdf,
Hill Mari,CLICS,mrj,trill,https://omniglot.com/writing/mari.htm,
Hinuq,CLICS,gin,trill,wiki,
Hoava,CLICS,hoa,,,hoa
Hokkaido Ainu,CLICS,ain,,,ain
Hunzib,CLICS,huz,trill,wiki,
Hup,CLICS,jup,,,jup
Idu,CLICS,clk,,,
Ika,CLICS,arh,,,arh
Imbabura Quechua,CLICS,que,,,
Inari Sami,CLICS,smn,trill,wiki,
Inga,CLICS,inb,,,inb
Ingush,CLICS,inh,,,inh
Iraqw,CLICS,irk,,,irk
Irarutu,CLICS,irh,,,irh
Itelmen,CLICS,itl,,,itl
Jamsay,CLICS,djm,,,djm
Jenaama,CLICS,bze,,,
Jingpho,CLICS,kac,,,kac
Jinsha Dai,CLICS,tiz,,,
Jinuo,CLICS,jiu,,,
Jitnu,CLICS,mbn,,,mbn
Judeo-Tat,CLICS,jdt,no trill,wiki,
"Kabola, Monbang",CLICS,klz,trill,wiki,
"Kaburi, Benawa",CLICS,uka,,,
