color,contribution_pk,count_concepts,description,family_glottocode,family_name,glottocode,id,jsondata,latitude,longitude,macroarea,markup_description,name,pk
#CC5151,30,106,NA,NA,Nuclear Trans New Guinea,abag1245,transnewguineaorg-abaga,{},-6.12028,145.665,Papunesia,NA,Abaga,1896
#3C8033,30,62,NA,NA,Sepik,abau1245,transnewguineaorg-abau,{},-3.97222,141.324,Papunesia,NA,Abau,1897
#338038,17,75,NA,NA,Abkhaz-Adyge,abaz1241,diacl-68466,{},41.1214,42.7273,Eurasia,NA,Abaza,632
#338038,17,286,NA,NA,Abkhaz-Adyge,abkh1244,diacl-58800,{},43.056218,41.159115,Eurasia,NA,Abkhaz,582
#338038,1,929,NA,NA,Abkhaz-Adyge,abkh1244,northeuralex-abk,{},43.056218,41.159115,Eurasia,NA,Abkhaz,1575
#803333,17,70,NA,NA,Austronesian,tagb1258,diacl-29400,{},9.54263,118.497,Papunesia,NA,Aborlan,368
#CC51AE,30,166,NA,NA,Nuclear Torricelli,abua1245,transnewguineaorg-abu-arapesh,{},-3.461612,142.917031,Papunesia,NA,Abu' Arapesh,1898
#593380,2,385,NA,NA,Timor-Alor-Pantar,abui1241,robinsonap-abui,{},-8.31058,124.588,Papunesia,NA,Abui,1682
#593380,16,380,NA,NA,Timor-Alor-Pantar,atim1239,lexirumah-atim1239,{},NA,NA,Papunesia,NA,"Abui, Atimelang",1173
#593380,30,112,NA,NA,Timor-Alor-Pantar,atim1239,transnewguineaorg-abui-atimelang,{},NA,NA,Papunesia,NA,Abui (Atimelang Dialect),1899
#593380,16,341,NA,NA,Timor-Alor-Pantar,abui1241,lexirumah-abui1241-fuime,{},-8.31058,124.588,Papunesia,NA,"Abui, Fuimelang",1150
#593380,30,112,NA,NA,Timor-Alor-Pantar,abui1241,transnewguineaorg-abui-makadai,{},-8.31058,124.588,Papunesia,NA,Abui (Makadai Dialect),1900
#593380,16,98,NA,NA,Timor-Alor-Pantar,abui1241,lexirumah-abui1241-petle,{},-8.31058,124.588,Papunesia,NA,"Abui, Petleng",1152
#593380,16,563,NA,NA,Timor-Alor-Pantar,abui1241,lexirumah-abui1241-takal,{},-8.31058,124.588,Papunesia,NA,"Abui, Takalelang",1153
#593380,16,570,NA,NA,Timor-Alor-Pantar,abui1241,lexirumah-abui1241-ulaga,{},-8.31058,124.588,Papunesia,NA,"Abui, Ulaga",1154
#CCA251,30,40,NA,NA,Abun,abun1252,transnewguineaorg-abun,{},-0.57073,132.416,Papunesia,NA,Abun,1901
#CCA251,30,38,NA,NA,Abun,abun1252,transnewguineaorg-abun-jembun,{},-0.57073,132.416,Papunesia,NA,Abun (Jembun Dialect),1902
#CCA251,30,40,NA,NA,Abun,abun1254,transnewguineaorg-abun-karon-pantai,{},NA,NA,Papunesia,NA,Abun (Karon Pantai Dialect),1903
#CCA251,30,39,NA,NA,Abun,abun1252,transnewguineaorg-abun-senopi,{},-0.57073,132.416,Papunesia,NA,Abun (Senopi Dialect),1904
#803333,17,98,NA,NA,Austronesian,achi1257,diacl-21900,{},3.90757,96.6032,Eurasia,NA,Acehnese,318
#51CC9E,10,259,NA,NA,Arawakan,acha1250,hubercolumbian-Achagua,{},4.38649,-72.2005,South America,NA,Achagua,695
#338080,14,867,NA,NA,Sino-Tibetan,acha1249,suntb-Achang,{},24.3479,97.7438,Eurasia,NA,Achang (Longchuan),1721
#61CC51,4,961,NA,NA,Tupian,ache1246,ids-288,{},-25.5865,-56.4697,South America,NA,Aché,903
#593380,2,361,NA,NA,Timor-Alor-Pantar,adan1251,robinsonap-adang,{},-8.18958,124.448,Papunesia,NA,Adang,1683
#593380,16,385,NA,NA,Timor-Alor-Pantar,adan1251,lexirumah-adan1251-lawah,{},-8.18958,124.448,Papunesia,NA,"Adang, Lawahing",1155
