Dataset.x,language.id,language.name,glottocode,latitude,longitude,family,concept,form_id,value,form,Language_broad,n,Dataset.y,AutotypMatch,R_type,Comments,PhoibleMatch,Trill
diacl,diacl-58200,Lezgian,lezg1247,41.553811,48.038979,Nakh-Daghestanian,SMOOTH,diacl-58200-149_smooth-1,c'alc'am,c'alc'am,Lezgian,2,CLICS,lez,trill,wiki,NA,NA
diacl,diacl-58800,Abkhaz,abkh1244,42.999497,41.017252,Abkhaz-Adyge,SMOOTH,diacl-58800-149_smooth-1,a-ja-šˠa,a-ja-šˠa,Abkhaz,1,CLICS,abk,trill,wiki,NA,NA
diacl,diacl-56900,Laz,lazz1240,41.462154,41.569662,Kartvelian,SMOOTH,diacl-56900-149_smooth-1,gangali,gangali,Laz,1,CLICS,lzz,NA,NA,lzz,NA
diacl,diacl-57000,Megrelian,ming1252,42.373764,41.937332,Kartvelian,SMOOTH,diacl-57000-149_smooth-1,"gluvi, gluv",gluvi,Megrelian,1,CLICS,xmf,NA,NA,xmf,NA
diacl,diacl-33900,Kuikúro-Kalapálo,kuik1246,-8.944098,-52.131742,Cariban,SMOOTH,diacl-33900-149_smooth-1,takujihiti,takujihiti,Kuikúro-Kalapálo,1,CLICS,kui,NA,NA,kui,NA
diacl,diacl-59500,Kashinawá,cash1254,-10.026289,-71.393669,Pano-Tacanan,SMOOTH,diacl-59500-149_smooth-1,mayun,mayun,Kashinawá,1,CLICS,cbs,NA,NA,cbs,NA
diacl,diacl-56000,Xokleng,xokl1240,-27.16847,-49.321967,Nuclear-Macro-Je,SMOOTH,diacl-56000-149_smooth-1,kódél,kódél,Xokleng,1,CLICS,xok,NA,NA,xok,NA
diacl,diacl-65500,Kamayurá,kama1373,-11.955425148,-53.300745001,Tupian,SMOOTH,diacl-65500-149_smooth-1,ijym,ijym,Kamayurá,1,CLICS,kay,NA,NA,kay,NA
halenepal,halenepal-Chepang,Chepang,chep1245,27.7206,84.9017,Sino-Tibetan,SMOOTH,halenepal-Chepang-1676_smooth-1,yum.ʔo,yum.ʔo,Chepang,1,CLICS,cdm,NA,NA,cdm,NA
halenepal,halenepal-Gurung,Gurung,guru1261,27.41687,86.28988,Sino-Tibetan,SMOOTH,halenepal-Gurung-1676_smooth-1,ciqllo,ciqllo,Gurung,1,CLICS,ggn; gvr,trill,https://audio-video.shanti.virginia.edu/video/gurung-man-describes-otar-village,NA,NA
halenepal,halenepal-Kaike,Kaike,kaik1246,28.853,83.1384,Sino-Tibetan,SMOOTH,halenepal-Kaike-1676_smooth-1,phil philma,phil_philma,Kaike,1,CLICS,kzq,NA,NA,NA,NA
halenepal,halenepal-Khaling,Khaling,khal1275,27.3912,87.5053,Sino-Tibetan,SMOOTH,halenepal-Khaling-1676_smooth-1,'solāemim,'solāemim,Khaling,1,CLICS,klr,trill,http://www.ling.sinica.edu.tw/files/publication/j2012_6_03_7314.pdf,NA,NA
halenepal,halenepal-Kham,Kham,parb1234,None,None,Sino-Tibetan,SMOOTH,halenepal-Kham-1676_smooth-1,ra:h.o,ra:h.o,Kham,1,CLICS,kgj; kif; kip; kjl,NA,NA,NA,NA
halenepal,halenepal-Magar,Magar,maga1261,None,None,Sino-Tibetan,SMOOTH,halenepal-Magar-1676_smooth-1,ling-ke,ling-ke,Magar,1,CLICS,mgp,no trill,wiki,NA,NA
halenepal,halenepal-Nepali,Nepali,nepa1254,28.0,85.0,Indo-European,SMOOTH,halenepal-Nepali-1676_smooth-1,cillā,cillā,Nepali,1,IDS,nep,NA,"also wikipedia says ""r is always a trill""",nep,yes
halenepal,halenepal-Newar,Newar,newa1246,27.2614,84.9577,Sino-Tibetan,SMOOTH,halenepal-Newar-1676_smooth-1,culu,culu,Newar,1,CLICS,new,NA,NA,new,NA
