ID,Name,Parameter,Language,Frequency,Confidence,References
lexirumah-wers1238-marit-rough-1,aborsing,ROUGH,"Wersing, Maritaing",,,
ids-319-15-760-2,aenaekhsaest,ROUGH,Ossetic,,,
wold-TarifiytBerber-1038_rough1-1,ahasaw,ROUGH,Tarifiyt Berber,,,
lexirumah-atim1239-rough-1,ahoifang,ROUGH,"Abui, Atimelang",,,
robinsonap-abui-235_rough-1,ahoifang,ROUGH,Abui,,,
ids-299-15-760-2,akpaalyey,ROUGH,Sanapaná (Enlhet dialect),,,
ids-299-15-760-1,alekhahaykaok,ROUGH,Sanapaná (Enlhet dialect),,,
ids-235-15-760-2,alualua,ROUGH,Hawaiian,,,
wold-Hawaiian-1038_rough1-3,alualua,ROUGH,Hawaiian,,,
lexirumah-kama1365-rough-1,aoba,ROUGH,"Kamang, Atoitaa",,,
robinsonap-kamang-235_rough-1,aooba,ROUGH,Kamang,,,
lexirumah-blag1240-bama-rough-1,arabut,ROUGH,"Blagar, Bama",,,
lexirumah-nede1245-rough-1,arada,ROUGH,Klamu,,,
robinsonap-nedebang-235_rough-1,aradda,ROUGH,Nedebang,,,
wold-Japanese-1038_rough1-1,arai,ROUGH,Japanese,,,
lexirumah-tiay1238-rough-1,arosang,ROUGH,Tiyei,,,
ids-701-15-760-1,asamatala,ROUGH,Bengali,,,
lexirumah-gese1240-rough-1,asar,ROUGH,Geser-Gorom,,,
ids-209-15-760-1,asawe,ROUGH,Tocharian A,,,
ids-210-15-760-1,asawe,ROUGH,Tocharian B,,,
ids-243-15-760-1,asiquenmague,ROUGH,Muisca,,,
ids-169-15-760-1,asper,ROUGH,Latin,,,
ids-176-15-760-1,aspero,ROUGH,Spanish,,,
ids-178-15-760-1,aspero,ROUGH,Portuguese,,,
ids-177-15-760-1,aspre,ROUGH,Catalan,,,
ids-212-15-760-1,aspro,ROUGH,Romani,,,
ids-179-15-760-1,aspru,ROUGH,Romanian,,,
wold-Romanian-1038_rough1-1,aspru,ROUGH,Romanian,,,
lexirumah-adan1251-otvai-rough-1,ato,ROUGH,"Adang, Otvai",,,
ids-815-15-760-2,b@33s@33,ROUGH,Cuoi,,,
marrisonnaga-Dimasa-617_rough-1,baraba,ROUGH,Dimasa,,,
ids-68-15-760-3,begemdaru,ROUGH,Tabasaran (Southern dialect),,,
ids-51-15-760-3,bigubitsub,ROUGH,Chamalal,,,
lexirumah-abui1241-papun-rough-1,bika,ROUGH,Papuna,,,
ids-74-15-760-1,bikhurmetlue,ROUGH,Judeo-Tat,,,
wold-Qeqchi-1038_rough1-1,biqbiq,ROUGH,Q'eqchi',,,
ids-281-15-760-1,bisa,ROUGH,Shipibo-Conibo,,,
ids-282-15-760-1,biski,ROUGH,Yaminahua,,,
ids-830-15-760-1,blak,ROUGH,Pear,,,
ids-404-15-760-1,bo3liap4,ROUGH,Khamuang (Chiang Mai variety),,,
lexirumah-alor1247-munas-rough-1,bogal,ROUGH,"Alorese, Munaseli",,,
lexirumah-alor1247-pandai-rough-1,bogal,ROUGH,"Alorese, Pandai",,,
ids-42-15-760-1,bolioiu,ROUGH,Hinuq,,,
lexirumah-blag1240-warsa-rough-1,boru,ROUGH,"Blagar, Warsalelang",,,
wold-SeychellesCreole-1038_rough1-2,brit,ROUGH,Seychelles Creole,,,
lexirumah-funa1237-rough-1,bseda,ROUGH,Funai Helong,,,
marrisonnaga-Lushai-617_rough-1,buan,ROUGH,Lushai,,,
ids-257-15-760-1,bubiro,ROUGH,Tuyuca,,,
ids-245-15-760-2,buihele,ROUGH,Cayapa,,,
marrisonnaga-Lushai-617_rough-2,buk,ROUGH,Lushai,,,
wold-Qeqchi-1038_rough1-3,buruxburux,ROUGH,Q'eqchi',,,
ids-245-15-760-1,busnaculu,ROUGH,Cayapa,,,
ids-408-15-760-1,ca1,ROUGH,Tai Khün,,,
ids-409-15-760-1,ca1,ROUGH,Shan,,,
ids-410-15-760-1,ca1,ROUGH,Shan (Northern Shan dialect),,,
ids-407-15-760-1,ca2,ROUGH,Tai Lü,,,
ids-413-15-760-2,ca2,ROUGH,Nung-Ninbei,,,
ids-307-15-760-2,cacace,ROUGH,Nivaclé,,,
ids-308-15-760-2,cachaca,ROUGH,Kunza,,,
ids-285-15-760-1,capuhni,ROUGH,Movima,,,
ids-307-15-760-1,caxax,ROUGH,Nivaclé,,,
ids-223-15-760-1,ce,ROUGH,Chatino (Zacatepec variety),,,
ids-305-15-760-1,ceekhe,ROUGH,Maca,,,
ids-273-15-760-1,cekeda,ROUGH,Cavineña,,,
halenepal-Chepang-1677_rough-1,ceko,ROUGH,Chepang,,,
ids-254-15-760-1,chachachi,ROUGH,Cofán,,,
ids-254-15-760-2,chacharikho,ROUGH,Cofán,,,
ids-421-15-760-1,chak8,ROUGH,Hlai (Baoting variety),,,
ids-269-15-760-1,chankha,ROUGH,Aymara,,,
ids-270-15-760-1,chaxta,ROUGH,Chipaya,,,
ids-52-15-760-1,chiechieru,ROUGH,Hunzib,,,
ids-59-15-760-1,chiiachiiazib,ROUGH,Dargwa (Kubachi dialect),,,
ids-508-15-760-1,chiukal,ROUGH,Dargwa (Megeb dialect),,,
wold-ZinacantanTzotzil-1038_rough1-1,chixaltik,ROUGH,Zinacantán Tzotzil,,,
ids-203-15-760-2,chropawy,ROUGH,Polish,,,
ids-418-15-760-1,chu1,ROUGH,Chadong,,,
ids-425-15-760-1,chu33cha33,ROUGH,Qau Kelao,,,
ids-424-15-760-1,chu35chau13,ROUGH,Sanchong Kelao,,,
ids-60-15-760-1,churkhkai,ROUGH,Dargwa (Khajdak dialect),,,
ids-505-15-760-1,churkhse,ROUGH,Dargwa (Gapshima dialect),,,
ids-510-15-760-1,churkhsi,ROUGH,Dargwa (Mugi dialect),,,
halenepal-Newar-1677_rough-1,chyaka,ROUGH,Newar,,,
