ID,Name,Parameter,Language,Frequency,Confidence,References
suntb-NanjianYi-882_smooth-1,a21mo33tchi33,SMOOTH,Yi (Nanjian),,,
ids-802-15-770-1,a31khliat51,SMOOTH,Bulang-2,,,
suntb-Sulong-882_smooth-1,a33g@i33,SMOOTH,Sulung [Puroik],,,
tryonsolomon-ghari-250_smooth-1,aca,SMOOTH,Ghari,,,
ids-319-15-770-3,aenaekhintsperenos,SMOOTH,Ossetic,,,
ids-319-15-770-2,aentson,SMOOTH,Ossetic,,,
hubercolumbian-Guahibo-334_smooth-1,ahue,SMOOTH,Guahibo,,,
hubercolumbian-Playero-334_smooth-2,ahue,SMOOTH,Playero,,,
northeuralex-abk-493_smooth-1,aimayzi,SMOOTH,Abkhaz,,,
diacl-58800-149_smooth-1,ajasga,SMOOTH,Abkhaz,,,
lexirumah-biak1248-smooth-1,akikjew,SMOOTH,Biak,,,
ids-299-15-770-1,alaalnayo,SMOOTH,Sanapaná (Enlhet dialect),,,
ids-222-15-770-1,alastik,SMOOTH,Nahuatl (Sierra de Zacapoaxtla variety),,,
tryonsolomon-asumboa-250_smooth-1,alevaleve,SMOOTH,Asumboa,,,
ids-208-15-770-1,alpu,SMOOTH,Hittite,,,
lexirumah-gese1240-smooth-1,alus,SMOOTH,Geser-Gorom,,,
lexirumah-remb1250-smooth-1,alus,SMOOTH,Rembong,,,
lexirumah-sika1262-tanai-smooth-4,alus,SMOOTH,"Sika, Tana Ai",,,
lexirumah-bone1254-smooth-1,alusu,SMOOTH,Bonerate,,,
lexirumah-bura1274-smooth-1,alusu,SMOOTH,"Cia-Cia, Burangasi",,,
lexirumah-ciac1237-batu-smooth-1,alusu,SMOOTH,"Cia-Cia, Batu Atas",,,
lexirumah-ciac1237-kase-smooth-1,alusu,SMOOTH,"Cia-Cia, Kase",,,
lexirumah-ciac1237-kondo-smooth-1,alusu,SMOOTH,"Cia-Cia, Kondowa",,,
lexirumah-ciac1237-tira-smooth-1,alusu,SMOOTH,"Cia-Cia, Tira",,,
lexirumah-kaes1237-smooth-1,alusu,SMOOTH,Kaisabu,,,
lexirumah-kumb1274-smooth-1,alusu,SMOOTH,Kumbewaha,,,
lexirumah-lasa1237-smooth-1,alusu,SMOOTH,Lasalimu,,,
lexirumah-woli1241-baadi-smooth-1,alusu,SMOOTH,"Wolio, Baadia",,,
lexirumah-woli1241-bone-smooth-1,alusu,SMOOTH,"Wolio, Bone-Bone",,,
lexirumah-woli1241-talag-smooth-1,alusumararo,SMOOTH,"Wolio, Talaga",,,
lexirumah-lioo1240-smooth-1,amo,SMOOTH,Lio,,,
wold-ImbaburaQuechua-1039_smooth-1,amuklla,SMOOTH,Imbabura Quechua,,,
marrisonnaga-Maring-691_smooth-1,ana,SMOOTH,Maring,,,
tryonsolomon-ghaimuta-250_smooth-1,anja,SMOOTH,Ghaimuta,,,
tryonsolomon-nggae-250_smooth-1,anja,SMOOTH,Nggae,,,
tryonsolomon-nggeri-250_smooth-1,anja,SMOOTH,Nggeri,,,
tryonsolomon-nginia-250_smooth-1,anza,SMOOTH,Nginia,,,
lexirumah-stan1308-smooth-1,aoalusu,SMOOTH,Muna,,,
lexirumah-maib1239-smooth-1,apuox,SMOOTH,Maybrat,,,
tryonsolomon-lokuru-250_smooth-1,arota,SMOOTH,Lokuru,,,
tryonsolomon-mbaniata-250_smooth-1,arota,SMOOTH,Mbaniata,,,
wold-TarifiytBerber-1039_smooth-1,ar@qqag,SMOOTH,Tarifiyt Berber,,,
lexirumah-kond1303-smooth-1,asiserere,SMOOTH,Konda,,,
sohartmannchin-Chinbon-213_smooth-1,athoijot,SMOOTH,Chinbon,,,
hubercolumbian-Bari-334_smooth-1,atrobisinin@,SMOOTH,Barí,,,
northeuralex-ale-493_smooth-1,atxaxsix,SMOOTH,Aleut,,,
ids-311-15-770-2,axkete,SMOOTH,Selknam,,,
hubercolumbian-Cuiba-334_smooth-1,axue,SMOOTH,Cuiba,,,
ids-255-15-770-1,ayadekae,SMOOTH,Waorani,,,
ids-311-15-770-1,aypel,SMOOTH,Selknam,,,
ids-508-15-770-1,bamuri,SMOOTH,Dargwa (Megeb dialect),,,
ids-508-15-770-2,bamuri,SMOOTH,Dargwa (Megeb dialect),,,
ids-840-15-770-1,bang2,SMOOTH,Mang VN,,,
lexirumah-kaer1234-smooth-2,baxarang,SMOOTH,Kaera,,,
satterthwaitetb-SichuanYi-337_smoothofsurface-1,bbaxyuo,SMOOTH,Nosu,,,
lexirumah-funa1237-smooth-1,bdoson,SMOOTH,Funai Helong,,,
lexirumah-dela1252-smooth-2,bebela,SMOOTH,Dela,,,
suntb-BijiangNusu-882_smooth-1,biar55biar55m55,SMOOTH,Nusu (Bijiang),,,
lexirumah-nede1245-smooth-1,bifi,SMOOTH,Klamu,,,
robinsonap-nedebang-268_smooth-1,bifi,SMOOTH,Nedebang,,,
northeuralex-gld-493_smooth-2,bildobildobi,SMOOTH,Nanai,,,
ids-838-15-770-1,bin,SMOOTH,Iduh,,,
hubercolumbian-Playero-334_smooth-1,binehai,SMOOTH,Playero,,,
hubercolumbian-Kamsa-334_smooth-1,binginjana,SMOOTH,Kamsá,,,
lexirumah-pura1258-smooth-1,birdula,SMOOTH,"Blagar, Pura",,,
lexirumah-negr1235-smooth-1,biribiri,SMOOTH,"Kokoda, Negeri Besar",,,
lexirumah-kasu1243-smooth-1,biribiria,SMOOTH,"Kokoda, Kasueri",,,
ids-322-15-770-1,bitarab,SMOOTH,Avar (East Gergebil dialect),,,
ids-321-15-770-2,bitiabishara,SMOOTH,Avar (Khunzakh dialect),,,
ids-322-15-770-2,bitiabisharab,SMOOTH,Avar (East Gergebil dialect),,,
ids-323-15-770-2,bitiabisharab,SMOOTH,Avar (Ansalta dialect),,,
ids-324-15-770-2,bitiabisharab,SMOOTH,Avar (Salatav dialect),,,
ids-26-15-770-1,bitiara,SMOOTH,Avar (Batlukh dialect),,,
ids-321-15-770-1,bitiara,SMOOTH,Avar (Khunzakh dialect),,,
ids-27-15-770-1,bitiarab,SMOOTH,Avar (Hid dialect),,,
ids-323-15-770-1,bitiarab,SMOOTH,Avar (Ansalta dialect),,,
ids-324-15-770-1,bitiarab,SMOOTH,Avar (Salatav dialect),,,
ids-531-15-770-2,bitiarab,SMOOTH,"Bezhta (Tlyadal dialect, Karauzek subdialect)",,,
ids-37-15-770-1,bitii,SMOOTH,Botlikh,,,
ids-38-15-770-1,bitiissu,SMOOTH,Godoberi,,,
ids-316-15-770-2,bitiunnivi,SMOOTH,Andi (Muni dialect),,,
ids-31-15-770-1,bitiurab,SMOOTH,Avar (Karakh dialect),,,
ids-524-15-770-1,biuchia,SMOOTH,Lak (Arakul dialect),,,
ids-526-15-770-1,biuvchiussa,SMOOTH,Lak (Shali dialect),,,
ids-420-15-770-1,blak8,SMOOTH,Lakkia,,,
tryonsolomon-blablanga-250_smooth-1,blelu,SMOOTH,Blablanga,,,
lexirumah-kema1243-kaila-smooth-1,b@lobon,SMOOTH,"Kemak, Kailaku",,,
lexirumah-alor1247-munas-smooth-2,bloho,SMOOTH,"Alorese, Munaseli",,,
suntb-MojiangYi-882_smooth-1,bo21,SMOOTH,Yi (Mojiang),,,
hantganbangime-Bunoge-241_smooth-1,borallaga,SMOOTH,Bunoge,,,
lexirumah-galo1243-smooth-1,brena,SMOOTH,Galolen,,,
northeuralex-ddo-493_smooth-1,bujaesi,SMOOTH,Tsez,,,
hantganbangime-Tiranige_Diga-241_smooth-1,burada,SMOOTH,Tiranige_Diga,,,
wold-Oroqen-1039_smooth-1,burtsurin,SMOOTH,Oroqen,,,
diacl-58200-149_smooth-1,calcam,SMOOTH,Lezgian,,,
ids-50-15-770-1,chahchub,SMOOTH,Tindi,,,
