Language,ISO_code,Phoible_code,Meaning,Form,Trill,Dataset,Family,Branch,Area,Continent
Wik-Ngathan,wik,wik,hard,t̪arən,NA,Chirila,NA,NA,NA,NA
Wik-Ngathan,wik,wik,soft,puːn̪əl,NA,Chirila,NA,NA,NA,NA
Nhirrpi,hrp,hrp,clean,waɟima,NA,Chirila,NA,NA,NA,NA
Wangkumara,xwk,xwk,soft,murpa,NA,Chirila,NA,NA,NA,NA
Wangkayutyuru,wnm,wnm,rough,ɟakiʈiɟakiʈi,NA,Chirila,NA,NA,NA,NA
Wangkayutyuru,wnm,wnm,smooth,ɟuɭpaɹa,NA,Chirila,NA,NA,NA,NA
Wangkayutyuru,wnm,wnm,blunt,muntu,NA,Chirila,NA,NA,NA,NA
Wangkayutyuru,wnm,wnm,flat,palt̪apalt̪a,NA,Chirila,NA,NA,NA,NA
Wangkayutyuru,wnm,wnm,hard,paɲɟada,NA,Chirila,NA,NA,NA,NA
Wangkayutyuru,wnm,wnm,soft,pulkupulku,NA,Chirila,NA,NA,NA,NA
Wangkayutyuru,wnm,wnm,soft,puɭku,NA,Chirila,NA,NA,NA,NA
Wangkayutyuru,wnm,wnm,sharp,t̪aɹipuɭka (t̪a(ɹ)lipulka),NA,Chirila,NA,NA,NA,NA
Wangkayutyuru,wnm,wnm,hard,wakiri,NA,Chirila,NA,NA,NA,NA
Yorta Yorta,xyy,xyy,hard,pakora,NA,Chirila,NA,NA,NA,NA
Yorta Yorta,xyy,xyy,hard,takora,NA,Chirila,NA,NA,NA,NA
Yorta Yorta,xyy,xyy,soft,jita,NA,Chirila,NA,NA,NA,NA
Yabula-Yabula,yxy,yxy,bald,gulliŋw'uk buku,NA,Chirila,NA,NA,NA,NA
Wathawurrung,wth,wth,hard,balit,NA,Chirila,NA,NA,NA,NA
Wathawurrung,wth,wth,soft,motaː,NA,Chirila,NA,NA,NA,NA
Wathawurrung,wth,wth,soft,konoŋ,NA,Chirila,NA,NA,NA,NA
Wathawurrung,wth,wth,soft,wita,NA,Chirila,NA,NA,NA,NA
Buwandik,xbg,xbg,soft,patoŋ,yes,Chirila,NA,NA,NA,NA
Buwandik,xbg,xbg,hard,pini,yes,Chirila,NA,NA,NA,NA
Wathawurrung,wth,wth,bald,jawaŋ,NA,Chirila,NA,NA,NA,NA
Yan-nhangu,jay,jay,bald,biɹilŋu,NA,Chirila,NA,NA,NA,NA
Yan-nhangu,jay,jay,flat,d̪apaɳbal,NA,Chirila,NA,NA,NA,NA
Yan-nhangu,jay,jay,rough,d̪irkt̪irk,NA,Chirila,NA,NA,NA,NA
Yan-nhangu,jay,jay,flat,d̪ult̪ul,NA,Chirila,NA,NA,NA,NA
Yan-nhangu,jay,jay,blunt,d̪umuluŋu,NA,Chirila,NA,NA,NA,NA
Yan-nhangu,jay,jay,sharp,ɟinbuɭk,NA,Chirila,NA,NA,NA,NA
Yan-nhangu,jay,jay,clean,garkuɭuk,NA,Chirila,NA,NA,NA,NA
Yan-nhangu,jay,jay,bald,ɹija-ɹawak,NA,Chirila,NA,NA,NA,NA
Yan-nhangu,jay,jay,soft,jaːbulu,NA,Chirila,NA,NA,NA,NA
