idR,REF,CIT,SOU,FUN,TRA,CGR,COA,TUF,COD,FRM,FSI,STO,SCS,SCC,TUE,CGO,RAC,langue,rough/smooth
141240,2,Childs 2000 : kisi,79,bâ,describes the sound of a drop of a liquid falling on a smooth surface,id,,{bruit},BA,bâ,ba,F,CV,,{sound},ID,,Kisi,smooth
142056,65,Childs 2000 : kisi,79,cùlùkɛ́í,"from cùlùkàá ‘be slippery, slick, or slimy’",adj,,"glissant ; lisse, gluant",CUDUKEI,cùlùkɛ́í-,culukɛi,LLHH,CVCVCVV,,,Adj,culuka,Kisi,smooth
142162,73,Childs 2000 : kisi,79,dèndènkùéíyó,a small light red toad with very smooth skin [...],N,"[...], used as bait for catfish. Var : dòndòŋkùéíyó, dèndèŋbèìyó.",crapaud sp.,DEDEKUEIJO,dèndèŋkùéíyó,dendenkueiyo,LLLHHH,CVCVCVVVCV,,,N o/a,dèndèŋkùéí,Kisi,smooth
142188,75,Childs 2000 : kisi,79,dɛ̀mdɛ̀m,"flat, smooth [...]",adj,"[...] (of food, e.g., dumboy or fufu)’. Variant: dɛ̀dɛ̀mndó. See dɛ̀ŋgbɔ́ɔ́ ‘a flat or level piece of land’.",plat ; doux,DEBDEB,dɛ̀mdɛ̀m-,dɛmdɛm,LL,CVCCVC,,,ADJ,,Kisi,smooth
142363,91,Childs 2000 : kisi,79,dùndúsɔ̀ɔ́ / dùndúsɔ̀ɔ́wá,a small brown toad with a rough back [...],Nc,"[...], swells up when threatened, esp. when chickens try to eat it. See dùndóó ‘drum’, sɔ̀ɔ́ ‘chicken’.",crapaud sp.,DUDUCO,dùndúsɔ̀ɔ́ / dùndúsɔ̀ɔ́wá,dundusɔɔ,LHLH,CVCVCVV,,,N o/a cpd,,Kisi,rough
142448,98,Childs 2000 : kisi,79,fásàkà-fásàkà,"quickly, in a rough and tumble manner, hurriedly, sloppily, can be said of bathing, eating, walking (but not running) ; strongly, in a physical manner",id,Var : [fə̀sə̀kə̀-fə̀sə̀kə̀],{attitude},PACAKA-PACAKA,fásàkà-fásàkà,fasaka-fasaka,HLL-HLL,CVCVCV-CVCVCV,,{attitude},ID,,Kisi,rough
142708,119,Childs 2000 : kisi,79,háwèlè-hàwèlè,"rough, bumpy ; burning, very hot",id,Raised register. Redup.,{aspect}{température},KABEDE-KABEDE,háwèlè-hàwèlè,hawele-hawele,HLL-LLL,CVCVCV-CVCVCV,,{aspect}{temperature},ID,,Kisi,rough
143024,144,Childs 2000 : kisi,79,kákáù,"having a rough surface, bumpy",id,,{aspect},KAKAU,kákáù,kakau,HHL,CVCVV,,{aspect},ID,,Kisi,rough
143421,176,Childs 2000 : kisi,79,kóngáŋ,underscores going in a smooth and sliding manner,id,Var: kóŋáŋ,{attitude},KOGAG,kóŋgáŋ,kongaŋ,HH,CVCVC,,{attitude},ID,,Kisi,smooth
143526,184,Childs 2000 : kisi,79,kɔ́ndì-kòlàá / kɔ́ndì-kòlɛ̀íláŋ,"coarse cotton cloth, homespun",Nc,"Var : kɔ́ndìkòlɛ̀íyó. See kɔ́ndìó ‘country’, kòlàá ‘cloth’.",vêtement de coton sp.,KODI-KODA,kɔ́ndì-kòlàá / kɔ́ndì-kòlɛ̀íláŋ,kɔndi-kolaa,HL-LLH,CVCV-CVCVV,,,N o/la cpd,,Kisi,rough
