"*ténh₂-u- / *tn̥h₂-éu-","‘thin’ [adj. | prot.] : IIr It Celt Gm BSl | *ten⁃h₂"
"*nébʰ-os / *nébʰ-es-","‘cloud’ [nt. | acro.] : Anat IIr Gk Celt Sl | *nebʰ"
"*h₁nḗh₃⸰mn̥ / *h₁néh₃⸰mn-","‘name’ [nt. | acro.] : Anat IIr It T | *h₁neh₃⁃mn"
"*bʰlég̑ʰ-mn̥ / *bʰl̥g̑ʰ-mén-","‘ritual form, sacred formula’ [nt. | prot.] : IIr | *bʰleg̑ʰ"
"*dʰéh₁-ti- / *dʰh₁-téi-","‘act of putting; deed; what has been established’ [f. | prot.] : IIr Gk Gm | *dʰeh₁ ¹"
"*dʰoh₁n-","‘grain’ [sb.] : Anat IIr Balt T | *dʰoh₁⁃n"
"*dʰugh₂⸰tér- / *dʰugh₂⸰tr- ; [nsg.] *dʰugh₂-tḗr","‘daughter’ [f. | hyst.] : IIr Gk It Celt Gm Arm BSl T | *dʰugh₂⁃ter"
"*ph₂⸰tér- / *ph₂-tr- ; [nsg.] *ph₂-tḗr","‘father’ [m. | hyst.] : IIr Gk It Celt Gm Arm T + | *ph₂⁃ter"
"*péh₂u̯⸰r̥ / *ph₂u-én-","‘fire’ [nt. | prot.] : Anat | *peh₂u⁃r|n"
"*pód- / *péd- ; [nsg.] *pṓd-s","‘foot’ [m. | acro.] : Anat IIr Gk It Celt Gm Arm | *ped ¹"
"*pónt-oh₂- / *pn̥t-h₂-","‘path’ [m. | amph.] : IIr Gk Gm | *pent"
"*séh₁-mn̥ / *sh₂-mén-","‘seed’ [nt. | prot.] : It BSl | *seh₁ ¹"
"*snus-ó-","‘daughter-in-law, son’s wife; brother’s wife’ [f. | meso.] : IIr Gk It Gm Arm Sl | *snus"
"*séh₂u̯⸰l̥ / *sh₂u⸰én-","‘sun’ [sb. | prot.] : IIr Gk It Celt Gm Balt | *seh₂u⁃l|n"
"*uā́s⸰tu / *uás-tu-","‘settlement’ [nt. | acro.] : Ind Gk Celt T | *uas⁃tu"
"*uérg̑-o-","‘work n.’ [nt. | acro.] : Iran Gk Gm | *uerg̑ ²"
"↯*di-ḗu- / *di-u- ; [asg.] *diḗ-m ← *di̯éum̥","‘bright sky, sky god’ [m. | hyst.] : Anat Ind Gk It + | *deih₂"
"*dn̥g̑ʰ⸰u‑éh₂ / *dn̥g̑ʰ⸰uh₂-","‘tongue’ [f. | hyst.] : IIr It Celt Gm BSl T | *dng̑ʰ⁃u"
"*dómh₂- / *démh₂- ; [nsg.] *dṓm  ← *dóm(h₂)s","‘house, building, household, frame, structure’ [f. | acro.] : IIr Gk Celt Arm | *demh₂ ¹"
"*dór⸰u / *dr-éu-","‘tree’ [nt. | prot.] : Anat IIr Gk Celt Gm Balt T + | *der⁃u"
"*h₁ék̑⸰u-o-","‘horse’ [mf. | acro.] : Anat IIr Gk It Celt Gm Arm T + | *h₁ek̑⁃u"
"*g̑éus-tu- / *g̑us-téu-","‘taste, trial n.’ [m. | prot.] : Ind It Celt Gm | *g̑eus"
"*g̑ón⸰u / *g̑n-éu-","‘knee’ [nt. | prot.] : Anat IIr Gk Gm Arm T Alb | *g̑en⁃u"
"**gʷém-ti- / *gʷm̥-téi-","‘act of walking, step; arrival; birth’ [f. | prot.] : IIr Gk Gm Balt | *gʷem"
"*gʷén-h₂ / *gʷn-éh₂","‘woman’ [f. | prot.] : IIr Gk Celt Gm Arm BSl T | *gʷen"
"?*h₁u̯idʰ-éu-h₂ / *h₁u̯idʰ-u-éh₂","‘widow, one who is separated’ [f. | prot.] : IIr It Celt Gm BSl Alb | *h₁ueidʰ"
"*h₂ént-","‘forehead, front’ [m. | ?] : Anat Gk Gm Arm Balt + | *h₂ent"
"*h₂éus-os- / *h₂us-s- (→  *h₂us-) ; [nsg.] *h₂eus-ōs (← ‑os‑s)","‘dawn n.’ [f. | amph.] : IIr Gk It | *h₂eu⁃s ²"
"*h₂nér- (*h₂n̥er‑) / *h₂nr- ; [nsg.] *h₂nḗr ←*h₂ner‑s","‘man, husband’ [m. | amph.] : IIr Gk It | *h₂ner"
"*h₂ósth₁ / *h₂ésth₁-","‘bone’ [nt. | acro.] : Anat Iran It Arm | *h₂osth₁"
"*h₂óu-i- / *h₂éu-i-","‘sheep’ [sb. | acro.] : Anat Ind Gk It Celt Gm Arm BSl T | *h₂ou"
"*h₂s⸰tér- / *h₂s⸰tr- ; [nsg.] *h₂s·tḗr","‘star’ [m. | hyst.] : Anat IIr Gk It Celt Arm T | *h₂s⁃ter"
"**h₂u̯l̥h₁⸰ón- / **h₂u̯l̥h₁⸰n-","‘wool’ [sb. | hyst. ?] : Anat IIr Gk It Celt Gm BSl | *h₂ulh₁⁃on"
"*h₀iág̑- / *h₀ig̑-","‘sacrifice n.; ↪︎sacrificing’ [sb. | amph.] : Ind | *h₀iag̑"
"*iḗkʷ⸰r̥ / *iékʷ-n-","‘liver’ [nt. | acro.] : Iran Gk It Balt | *iekʷ⁃r|n"
"*i̯ug-ó-","‘yoke n.’ [nt. | meso.] : Anat IIr Gk It Celt Gm | *ieug"
"*k̑er‑(d)‑ / *k̑r̥‑d- ; [nasg.] *kḗr ← *ker‑s","‘heart’ [nt. | amph.] : Anat IIr Gk It Arm Balt | *k̑erd"
"*krót-u- / *krét-u-","‘insight, intelligence’ [m. ? nt. ? | acro.] : IIr | *kret ¹"
"*k̑u⸰ón- / *k̑u-n- ; [nsg.] *k̑u-ṓ","‘dog’ [mf. | hyst.] : Anat IIr Gk It Celt Arm Balt T | *k̑u⁃on"
"*kʷé-kʷl-o‑","‘wheel, ring’ [mnt.] : Gk Gm | *kʷel, *kʷel⁃h₁ ¹"
"*kʷe-kʷl-ó-","‘wheel (< set of wheels)’ [nt. < nt.coll. | meso.] : IIr Gk Gm T | *kʷel, *kʷel⁃h₁ ¹"
"*léi-mon- / *li-mn- ; [nsg.] *léi-mō ← *lei‑mon‑s","‘lake, moist meadow’ [mf. | amph.] : Gk | *lei"
"*mḗh₁n̥-s- / *méh₁⸰n̥-s-","‘moon, month’ [m. | acro.] : IIr Gk It Celt Sl | *meh₁⁃n"
"*mḗms / *méms-","‘meat’ [nt. | acro.] : IIr | *mems"
"*mén-ti- / *mn̥-téi-","‘thought, mention’ [f. | prot.] : Ind It Celt Gm BSl | *men ¹"
"*mór-i / *mr-éi- (*mr̥‑éi-)","‘sea, standing water’ [nt. | prot.] : It Celt Gm BSl + | *mor ¹"
"*nógʷ-t- > *nókʷ-t- / *négʷ-t- > *nékʷ-t-","‘night’ [f. | acro.] : Anat Iran Gk It Celt Gm BSl T Alb | *negʷ ¹"
"*h₁ós⸰r̥ / *h₁és-en-","‘autumn’ [nt. | acro.] : Gk Sl | *h₁es⁃r|n"
"*uéd-or‑ / *ud-n- ; [lsg.] *udén-(i)","‘waters, water’ [nt. coll. | amph.] : Ind Nur Gk It | *ued"
"*uréh₂d- / *u̯r̥h₂d-","‘root’ [f. | amph.] : Gm | *ureh₂d"
"*iéug-o-","‘yoke n.’ [nt. | acro.] : Iran Gk | *ieug"
"*dʰég̑ʰ⸰om- / *dʰg̑ʰ-m- ; [nasg; lsg] *dʰég̑ʰ-ōm ; *dʰg̑ʰém","‘earth’ [f. | amph.] : Anat IIr Gk Celt T Alb + | *dʰeg̑ʰ⁃om"
"*uód-r̥ / *ud-én-","‘water’ [nt. | prot.] : Anat Ind Gm Balt | *ued"
"*deih₂-uó-","‘god’ [m. | meso.] : IIr It Celt Balt | *deih₂"
"*tn̥h₂-éu̯-ih₂ / *tn̥h₂-u-i̯éh₂","‘thin’ [adj.f. | prot.] : Ind | *ten⁃h₂"
"*pl̥h₁-nó-","‘full’ [adj. | meso.] : IIr Celt Gm Balt T | *pleh₁"
"*sém- / *sm‑ ; [nsg.] *sḗm ← *sem-s","‘one’ [num.m. | amph.] : Iran Gk It Gm T | *sem"
"**sém-ih₂ / **sm̥-iéh₂-","‘one’ [num.f. | prot.] : Gk Arm | *sem"
"*h₁ésh₂⸰r̥ / *h₁sh₂-én-","‘blood’ [nt. | prot.] : Anat Ind Nur Gk It Arm Balt | *h₁esh₂⁃r|n"
"*dh₃-tér- / *dh₃-tr- ; [nsg.] *dh₃-tḗr","‘giver’ [mf. | hyst.] : Gk | *deh₃"
"*déh₃-tor- / *deh₃-tr- ; [nsg.] *déh₃-tōr","‘giver, donor’ [mf. | ? acro.] : IIr Gk | *deh₃"
"*g̑énh₁-os / *g̑énh₁-es-","‘birth, ancestry, species’ [nt. | acro.] : Ind Gk It Celt Arm | *g̑enh₁"
"↷ *bʰag-o-uen-t-","‘having a share > wealthy’ [↷ adj.] : Ind | *bʰag"
"*h₂i̯⸰u-h₃én- / *h₂i̯⸰u-h₃n- ; [nsg.] *h₂i·u-h₃ḗn","‘having the life force’ [adj. | hyst.] : IIr It | *h₂ei⁃u"
"*k̑léu-men-","‘hearing’ [nt., m.] : IIr Gm T | *k̑leu"
"*k̑léu-tor- ; [nsg.] *k̑léu-tōr","‘hearer’ [m.] : Ind | *k̑leu"
"*k̑lu-ti-","‘hearing’ [f.] : IIr | *k̑leu"
"*k̑léu-os / *k̑léu-es-","‘fame, glory, praise, word’ [nt. | acro.] : IIr Gk Celt Gm Sl T | *k̑leu"
"↷ *k̑lōu-eh₂","‘fame, glory’ [↷ f.] : Sl | *k̑leu"
"*k̑léu-tro-","‘ear; sound < ‘thing with/by which one hears’’ [nt. | acro.] : IIr Gm | *k̑leu"
"*k̑lu-tro-","‘sound, that which is heard’ [sb.] : Arm | *k̑leu"
"*k̑leu-mo-","‘sound, noise’ [m.] : Gm | *k̑leu"
"↷ *k̑lu-t-io-","‘worth hearing about’ [↷adj.] : Ind | *k̑leu"
"*h₂ŕ̥tk̑-o-","‘bear’ [m. | acro.] : Anat IIr Gk It Celt Arm Alb | *h₂rt⁃k̑"
"*h₀r̥tk̑-eh₂","‘she-bear’ [f.] : It | *h₂rt⁃k̑"
"*h₂r̥tk̑-ih₂","‘she-bear’ [f.] : Ind | *h₂rt⁃k̑"
"*néu-o-","‘new’ [adj. | acro.] : Anat IIr Gk It Arm BSl T | *neu ¹"
"*néu-i̯o-","‘new’ [adj. | acro.] : Ind Nur It Celt Gm Balt | *neu ¹"
"*néu-i̯es- / ?**nu̯-is-","‘newer’ [adj. | ? amph.] : Ind It | *neu ¹"
"*néu̯-isth₂-o-","‘newest’ [adj. | acro.] : Ind Nur | *neu ¹"
"*h₂eg̑-ro-","‘field < ‘uncultivated field’’ [m. | acro.] : Ind Gk It Gm | *h₂eg̑ ¹"
"*g̑ʰéi⸰om- / *g̑ʰi-ém- ; [nsg.] *g̑ʰéi-ōm ← *g̑ʰéi-om-s","‘winter, snow’ [sb. | prot.] : Anat Iran Gk It Celt Gm Arm | *g̑ʰei⁃om"
"*deh₂i⸰uér- / *dh₂i-ur- (*dīu̯r̥-, ?*dh₁i̯ur‑) ; [nsg.] *deh₂i-uḗr (← *‑uér‑s)","‘brother-in-law, husband’s brother’ [m. | hyst.] : IIr Gk It Gm Arm BSl | *deh₂i⁃uer"
"*dʰóh₁n-io-","‘consisting of grain (↪ grain)’ [adj. | ? acro.] : Ind Alb | *dʰoh₁⁃n"
"?↷*h₁ék̑⸰u-eh₂","‘mare’ [f. | acro.] : IIr It Balt | *h₁ek̑⁃u"
"*h₀osgʷ-i-","‘knot, excrescence’ [sb.] : Celt | *h₀osgʷ"
"*h₀osgʷ-o-","‘knot, excrescence’ [sb.] : Iran Celt | *h₀osgʷ"
"*kor-o-","‘war, horde’ [m.] : IIr Balt | *kor"
"*kor-i-","‘band of retainers, group of warriors’ [m.] : Gk Celt Gm Balt | *kor"
"*bʰag-tér- / *bʰag-tr- ; [nsg.] *bʰag-tḗr","‘allocator’ [m. | ? hyst.] : IIr | *bʰag"
