Phoible_code,Phoible_R_type
afr,trill
arz,trill
azj,no trill
bel,NA
bul,trill
bos,NA
cat,mixed with trill
ceb,trill
cos,NA
ces,trill
cym,NA
dan,NA
deu,trill
ell,no trill
spa,mixed with trill
est,NA
eus,mixed with trill
pes,trill
fin,trill
fra,trill
frr,trill
gle,no trill
gla,NA
glg,mixed with trill
hrv,trill
hat,NA
hun,trill
hye,trill
ind,trill
isl,trill
ita,trill
heb,no rhotic
jav,trill
kat,trill
kaz,NA
ltz,NA
lit,trill
lav,NA
mkd,trill
khk,trill
zsm,trill
mlt,trill
nld,trill
nob,no trill
pol,trill
por,no trill
rus,trill
sin,no trill
slk,NA
slv,no trill
als,trill
sun,no trill
swe,no trill
tgl,no trill
tur,trill
ukr,trill
uzn,no trill
vie,no rhotic
ydd,mixed with trill
yor,no trill
kld,NA
ylr,NA
pit,NA
wnm,NA
yxy,NA
wth,NA
guf,NA
rit,NA
jay,NA
bvr,no trill
dji,NA
adt,NA
wyi,NA
nha,NA
nnv,NA
wrh,NA
yub,NA
xbg,NA
bzr,NA
zku,NA
qgu,NA
ayd,NA
wrr,NA
bym,NA
xbj,NA
dif,mixed with trill
drl,NA
yxg,NA
awk,NA
wbt,NA
gyy,NA
uwa,NA
ktd,NA
vmb,mixed with trill
bxj,NA
yii,mixed with trill
dhl,NA
djl,NA
mpj,NA
mnt,NA
gdj,NA
wgy,NA
zmc,NA
kkp,NA
weg,NA
gjm,NA
xyy,NA
bpt,NA
bcj,mixed with trill
ywr,NA
nyh,NA
nyv,NA
nmp,NA
?wyb,NA
kky,NA
tjw,NA
duj,mixed with trill
bxn,NA
nuy,mixed with trill
yyg,NA
bdy,trill
jig,NA
gbp,no trill
mhi,trill
tem,trill
kbp,trill
"kau, knc",NA
mnk,trill
lzz,no trill
xmf,trill
kui,no rhotic
cbs,no rhotic
xok,no rhotic
kay,no trill
cdm,trill
nep,no trill
new,no rhotic
taj,trill
bam,no trill
ffm,trill
djm,trill
khq,trill
kbh,no trill
aca,no trill
kwi,no trill
boa,no trill
mot,trill
bao,no trill
guh,trill
bsn,no trill
sey,no rhotic
gum,no trill
cui,no rhotic
cbd,no trill
myy,no trill
cbg,no trill
guo,no trill
cmi,mixed with trill
cbc,no trill
kpc,no trill
arh,no trill
cto,mixed with trill
cub,no trill
bmr,no trill
des,no trill
inb,no trill
mbp,mixed with trill
mbr,no trill
mbn,no trill
coe,no trill
pbb,no trill
cbv,no rhotic
hto,no trill
kog,no rhotic
pir,no trill
huu,no trill
oca,no trill
rgr,no rhotic
slc,mixed with trill
snn,no rhotic
sri,no trill
tav,no trill
tuo,no trill
tnc,no trill
tuf,no trill
tae,no trill
tue,no trill
noa,mixed with trill
gvc,no trill
ycn,no trill
yup,no trill
yui,no trill
lbe,trill
rut,trill
che,trill
ava,no trill
myv,NA
kca,trill
kpv,trill
sma,trill
mns,NA
mhr,no trill
yrk,trill
sel,no trill
udm,NA
grc,NA
lat,NA
pbh,no trill
mbc,no trill
mch,no trill
waw,no trill
ron,trill
bre,no rhotic
got,NA
ang,NA
eng,no trill
goh,NA
rmy,NA
jam,no trill
hau,mixed with trill
plj,NA
ncj,no rhotic
ctp,no trill
kyh,no trill
sei,no trill
zun,no rhotic
tli,no rhotic
tsi,no rhotic
haw,no rhotic
mri,no trill
rap,NA
rtm,NA
ton,no trill
pmt,NA
chb,no trill
cof,no trill
emp,mixed with trill
sja,mixed with trill
yau,no trill
yae,no trill
shb,no trill
wca,no trill
con,no trill
auc,no rhotic
agr,no trill
yad,no trill
brg,no trill
guc,mixed with trill
ign,no trill
wap,no trill
wau,no trill
ayr,no trill
cap,no trill
cas,no trill
aro,no rhotic
cav,no trill
ese,no rhotic
tna,no trill
kav,no rhotic
cao,no rhotic
yaa,no rhotic
mzp,no trill
pav,no trill
myu,no trill
guq,no trill
gui,no trill
gug,mixed with trill
oym,no trill
kgp,no trill
kpj,no trill
tpy,trill
ayo,no trill
sap,NA
moc,no trill
plg,no rhotic
crq,no rhotic
mca,no rhotic
mzh,NA
cag,no rhotic
arn,no rhotic
teh,trill
ona,no trill
alc,no trill
tob,no trill
yah,NA
ghl,NA
tha,no trill
nod,NA
tdd; thi,NA
khb,no rhotic
kkh,NA
shn,NA
zgn,NA
nut,no rhotic
zzj,NA
swi,no rhotic
lbc,no rhotic
lic,NA
yzg,NA
yln,NA
giq,NA
gqu,no rhotic
inh,no trill
bbl,trill
ben,no trill
hin,mixed with trill
kha,trill
bfz,NA
mar,no trill
pan,mixed with trill
tam,no trill
tel,no trill
bod,trill
mml,NA
blr,trill
huo,NA
wbm,trill
rbb,NA
pry,NA
bgk,NA
ply,NA
mra,NA
pnx,NA
thm,no trill
cbn,no trill
pcb,NA
syo,NA
sxm,no trill
cog,trill
khm,no trill
tyh,NA
zng,NA
dcr,NA
cbi,no trill
trn,no trill
yvt,no trill
shp,no rhotic
ito,no trill
srq,no trill
kuz,no trill
njm,trill
njo,no rhotic
kac,no trill
njh,trill
lus,no trill
mni,trill
mjw,trill
nsm,no rhotic
nmf,mixed with trill
nst,no trill
nbi,trill
nio,trill
bak,trill
chv,trill
sah,trill
mnc,trill
gld,trill
ket,no rhotic
ykg,trill
yux,trill
itl,trill
ckt,no rhotic
ain,no trill
kor,no rhotic
jpn,no trill
ale,no rhotic
ess,no trill
kal,no rhotic
kan,no trill
mal,mixed with trill
bsk,no trill
woi,trill
adn,trill
nxq,no rhotic
